Song Name,Artist Name
End of the Road,Boyz II Men
Baby Got Back,Sir Mix-a-Lot
Jump,Kris Kross
Save the Best for Last,Vanessa Williams
Baby-Baby-Baby,TLC
Tears in Heaven,Eric Clapton
My Lovin' (You're Never Gonna Get It),En Vogue
Under the Bridge,Red Hot Chili Peppers
All 4 Love,Color Me Badd
Just Another Day,Jon Secada
I Love Your Smile,Shanice
To Be with You,Mr. Big
I'm Too Sexy,Right Said Fred
Black or White,Michael Jackson
Achy Breaky Heart,Billy Ray Cyrus
I'll Be There,Mariah Carey
November Rain,Guns N' Roses
Life Is a Highway,Tom Cochrane
Remember the Time,Michael Jackson
Finally,CeCe Peniston
This Used to Be My Playground,Madonna
Sometimes Love Just Ain't Enough,Patty Smyth and Don Henley
Can't Let Go,Mariah Carey
Jump Around,House of Pain
Diamonds and Pearls,Prince and The New Power Generation
Don't Let the Sun Go Down on Me,George Michael and Elton John
Masterpiece,Atlantic Starr
If You Asked Me To,Celine Dion
Giving Him Something He Can Feel,En Vogue
Live and Learn,Joe Public
Come and Talk to Me,Jodeci
Smells Like Teen Spirit,Nirvana
Humpin' Around,Bobby Brown
Damn I Wish I Was Your Lover,Sophie B. Hawkins
Tell Me What You Want Me to Do,Tevin Campbell
Ain't 2 Proud 2 Beg,TLC
It's So Hard to Say Goodbye to Yesterday,Boyz II Men
Move This,Technotronic featuring Ya Kid K
Bohemian Rhapsody,Queen
Tennessee,Arrested Development
The Best Things in Life Are Free,Luther Vandross and Janet Jackson
Make It Happen,Mariah Carey
The One,Elton John
Set Adrift on Memory Bliss,P.M. Dawn
Stay,Shakespears Sister
2 Legit 2 Quit,Hammer
Please Don't Go,KWS
Breakin' My Heart (Pretty Brown Eyes),Mint Condition
Wishing on a Star,The Cover Girls
She's Playing Hard to Get,Hi-Five
I'd Die Without You,P.M. Dawn
Good for Me,Amy Grant
All I Want,Toad the Wet Sprocket
When a Man Loves a Woman,Michael Bolton
I Can't Dance,Genesis
Hazard,Richard Marx
Mysterious Ways,U2
Too Funky,George Michael
How Do You Talk to an Angel,The Heights
One,U2
Keep on Walkin',CeCe Peniston
Hold on My Heart,Genesis
The Way I Feel About You,Karyn White
Beauty and the Beast,Celine Dion and Peabo Bryson
Warm It Up,Kris Kross
In the Closet,Michael Jackson
People Everyday,Arrested Development
No Son of Mine,Genesis
Wildside,Marky Mark and the Funky Bunch
Do I Have to Say the Words?,Bryan Adams
Friday I'm in Love,The Cure
Everything About You,Ugly Kid Joe
Blowing Kisses in the Wind,Paula Abdul
Thought I'd Died and Gone to Heaven,Bryan Adams
Rhythm Is a Dancer,Snap!
Addams Groove,Hammer
Missing You Now,Michael Bolton
Back to the Hotel,N2Deep
Everything Changes,Kathy Troccoli
Have You Ever Needed Someone So Bad,Def Leppard
Take This Heart,Richard Marx
When I Look Into Your Eyes,FireHouse
I Wanna Love You,Jade
Uhh Ahh,Boyz II Men
Real Love,Mary J. Blige
Justified and Ancient,The KLF
Slow Motion,Color Me Badd
What About Your Friends,TLC
Thinkin' Back,Color Me Badd
Would I Lie to You?,Charles & Eddie
That's What Love Is For,Amy Grant
Keep Coming Back,Richard Marx
Free Your Mind,En Vogue
Keep It Comin',Keith Sweat
Just Take My Heart,Mr. Big
I Will Remember You,Amy Grant
We Got a Love Thang,CeCe Peniston
Let's Get Rocked,Def Leppard
They Want EFX,Das EFX
I Can't Make You Love Me,Bonnie Raitt
