song_title,artist,tempo,mfcc_1,mfcc_2,mfcc_3,mfcc_4,mfcc_5,mfcc_6,mfcc_7,mfcc_8,mfcc_9,mfcc_10,mfcc_11,mfcc_12,mfcc_13,chroma_mean_1,chroma_mean_2,chroma_mean_3,chroma_mean_4,chroma_mean_5,chroma_mean_6,chroma_mean_7,chroma_mean_8,chroma_mean_9,chroma_mean_10,chroma_mean_11,chroma_mean_12,chroma_std_1,chroma_std_2,chroma_std_3,chroma_std_4,chroma_std_5,chroma_std_6,chroma_std_7,chroma_std_8,chroma_std_9,chroma_std_10,chroma_std_11,chroma_std_12,spectral_centroid
Happy,Pharrell Williams,161.4990234375,-63.6962,75.5557,27.1962,18.5626,13.1516,-1.5304,-4.3046,6.2594,-2.349,-1.9867,-7.0585,4.5437,-6.7583,0.4469,0.3165,0.3168,0.4342,0.4003,0.5111,0.3224,0.3818,0.3485,0.3128,0.37,0.3123,0.3216,0.2485,0.2696,0.3367,0.2654,0.3643,0.2406,0.3173,0.3005,0.2661,0.3077,0.2366,2797.2431
Dark Horse,Katy Perry featuring Juicy J,129.19921875,-159.8471,88.2579,3.344,19.2012,14.2872,11.0077,1.8346,8.1623,5.6319,5.8344,-1.2023,7.6562,2.6823,0.5981,0.5089,0.3136,0.2926,0.26,0.3497,0.3097,0.3743,0.4958,0.4983,0.5825,0.525,0.3207,0.288,0.2435,0.2905,0.2298,0.2974,0.246,0.2468,0.3034,0.2904,0.3346,0.3255,2171.6416
All of Me,John Legend,123.046875,-196.2145,103.6993,-1.8589,7.781,-9.0026,-6.6333,-20.5196,-8.8551,-21.7296,-7.8209,-9.3445,-8.6193,-12.2958,0.279,0.2167,0.1575,0.2963,0.1909,0.3102,0.1511,0.263,0.3009,0.1676,0.274,0.1709,0.3417,0.2988,0.189,0.3688,0.1959,0.3834,0.1911,0.3185,0.3381,0.1934,0.3509,0.2173,1954.9483
Fancy,Iggy Azalea featuring Charli XCX,95.703125,-59.9829,65.7988,-11.0856,22.3801,5.6719,5.6745,4.8435,3.3919,5.1245,11.8218,0.0104,9.9656,2.3385,0.4869,0.4538,0.4959,0.5036,0.4264,0.4057,0.3916,0.3985,0.3411,0.3604,0.4014,0.4562,0.3395,0.2942,0.3032,0.3317,0.2774,0.3007,0.2965,0.3102,0.2781,0.2714,0.2741,0.3015,2767.0608
Counting Stars,OneRepublic,123.046875,-37.2294,84.36,6.6459,24.8793,3.0391,10.3639,1.9212,1.7898,-5.8202,6.0292,-3.0662,2.9789,-4.3807,0.3545,0.472,0.3287,0.3768,0.4347,0.3571,0.4559,0.3717,0.4569,0.3408,0.3063,0.4023,0.2442,0.3292,0.2407,0.278,0.3285,0.2542,0.3534,0.2761,0.3364,0.2832,0.2344,0.3126,2460.3456
Talk Dirty,Jason Derulo featuring 2 Chainz,99.38401442307692,-221.3368,61.8489,-12.0415,15.0293,0.8818,1.1593,-4.5613,4.7267,-3.0593,6.9385,-3.6727,1.6647,-2.1271,0.3462,0.4112,0.3907,0.367,0.4337,0.4911,0.5557,0.5,0.4721,0.5035,0.44,0.4138,0.2746,0.3197,0.2856,0.2708,0.314,0.3332,0.3516,0.3345,0.3183,0.3331,0.293,0.2983,2563.7717
Rude,Magic!,143.5546875,-52.8052,85.6668,-9.6729,22.7636,9.1473,6.8627,-2.8222,6.7957,-6.278,10.3239,-8.2353,7.0731,-3.6576,0.4072,0.5001,0.3269,0.3159,0.2896,0.3938,0.3562,0.3726,0.4829,0.396,0.4009,0.3275,0.302,0.3645,0.2652,0.2763,0.2306,0.312,0.2976,0.2933,0.3303,0.2928,0.3254,0.2676,2401.7069
All About That Bass,Meghan Trainor,89.10290948275862,-61.708,94.3685,-2.8074,23.9936,-3.5497,10.3876,1.0101,-0.4786,0.2157,5.4426,1.5889,3.3558,0.8448,0.4323,0.4727,0.4521,0.4045,0.4854,0.4161,0.3907,0.3362,0.3463,0.4602,0.3789,0.4145,0.3153,0.3113,0.3032,0.2865,0.3295,0.3162,0.3089,0.27,0.2647,0.3222,0.2772,0.3055,2218.6907
Problem,Ariana Grande featuring Iggy Azalea,103.359375,-147.0327,64.2067,-6.4738,15.8329,2.4085,2.2504,5.2331,0.8342,5.4162,9.5676,-4.6786,4.0414,-1.958,0.3386,0.3057,0.2702,0.324,0.2677,0.2846,0.3787,0.3852,0.5202,0.44,0.438,0.4714,0.2753,0.289,0.2544,0.2952,0.2586,0.2606,0.3016,0.2959,0.3946,0.3528,0.3188,0.3521,2545.3086
Stay with Me,Sam Smith,86.1328125,-134.6621,132.4322,16.3187,19.8143,9.0504,15.5037,5.2737,7.946,2.0615,2.7729,0.916,1.2684,3.1377,0.6097,0.3639,0.314,0.2801,0.342,0.2259,0.223,0.3861,0.2832,0.3257,0.3059,0.4538,0.3834,0.2575,0.2903,0.2668,0.3241,0.2697,0.2297,0.3349,0.2642,0.3332,0.2429,0.2889,1407.8705
Timber,Pitbull featuring Kesha,129.19921875,-28.1279,63.9873,-7.2338,16.0317,1.1838,5.5859,3.9662,2.7833,-0.5653,4.7578,-4.6611,3.7134,-1.5839,0.3815,0.4278,0.3364,0.3847,0.317,0.366,0.528,0.3766,0.4293,0.359,0.4118,0.4999,0.2653,0.3215,0.2526,0.3023,0.2663,0.2855,0.3376,0.2656,0.3327,0.2761,0.2816,0.3473,2793.1534
Pompeii,Bastille,129.19921875,-77.4298,91.0736,-9.6146,17.1822,8.3733,3.1063,3.2594,3.4635,-8.184,4.5419,1.1185,2.6544,5.2113,0.3366,0.4805,0.3583,0.3955,0.5087,0.3615,0.3493,0.2967,0.4198,0.4887,0.303,0.361,0.2261,0.333,0.2806,0.2686,0.3256,0.26,0.2972,0.2453,0.2821,0.3362,0.2174,0.3145,2362.5465
Shake It Off,Taylor Swift,161.4990234375,-34.957,70.3869,-11.7256,16.0725,7.4902,8.1733,8.1565,5.1561,3.2725,6.2726,-3.4406,6.2071,-0.7426,0.4226,0.4064,0.5268,0.3471,0.389,0.3015,0.4014,0.5541,0.4247,0.4835,0.3991,0.4741,0.305,0.2646,0.3356,0.2439,0.2983,0.223,0.2705,0.3388,0.261,0.3278,0.251,0.3027,2798.4472
