SONG_TITLE,ARTIST_NAME,Billboard_Year,Billboard_Rank,HitScore
Hold On,Wilson Phillips,1990,1,1.0
It Must Have Been Love,Roxette,1990,2,0.99
Nothing Compares 2 U,Sinéad O'Connor,1990,3,0.98
Poison,Bell Biv DeVoe,1990,4,0.97
Vogue,Madonna,1990,5,0.96
Vision of Love,Mariah Carey,1990,6,0.95
Another Day in Paradise,Phil Collins,1990,7,0.94
Hold On,En Vogue,1990,8,0.93
Cradle of Love,Billy Idol,1990,9,0.92
Blaze of Glory,Jon Bon Jovi,1990,10,0.91
Do Me!,Bell Biv DeVoe,1990,11,0.9
How Am I Supposed to Live Without You,Michael Bolton,1990,12,0.89
Pump Up the Jam,Technotronic,1990,13,0.88
Opposites Attract,Paula Abdul,1990,14,0.87
Escapade,Janet Jackson,1990,15,0.86
All I Wanna Do Is Make Love to You,Heart,1990,16,0.85
Close to You,Maxi Priest,1990,17,0.84
Black Velvet,Alannah Myles,1990,18,0.83
Release Me,Wilson Phillips,1990,19,0.82
Don't Know Much,Linda Ronstadt featuring Aaron Neville,1990,20,0.81
All Around the World,Lisa Stansfield,1990,21,0.8
I Wanna Be Rich,Calloway,1990,22,0.79
Rub You the Right Way,Johnny Gill,1990,23,0.78
She Ain't Worth It,Glenn Medeiros featuring Bobby Brown,1990,24,0.77
If Wishes Came True,Sweet Sensation,1990,25,0.76
The Power,Snap!,1990,26,0.75
(Can't Live Without Your) Love and Affection,Nelson,1990,27,0.74
Love Will Lead You Back,Taylor Dayne,1990,28,0.73
Don't Wanna Fall in Love,Jane Child,1990,29,0.72
Two to Make It Right,Seduction,1990,30,0.71
Sending All My Love,Linear,1990,31,0.7
Unskinny Bop,Poison,1990,32,0.69
Step by Step,New Kids on the Block,1990,33,0.68
Dangerous,Roxette,1990,34,0.67
We Didn't Start the Fire,Billy Joel,1990,35,0.66
I Don't Have the Heart,James Ingram,1990,36,0.65
Downtown Train,Rod Stewart,1990,37,0.64
Rhythm Nation,Janet Jackson,1990,38,0.63
I'll Be Your Everything,Tommy Page,1990,39,0.62
Roam,The B-52's,1990,40,0.61
Everything,Jody Watley,1990,41,0.6
Back to Life (However Do You Want Me),Soul II Soul featuring Caron Wheeler,1990,42,0.59
Here and Now,Luther Vandross,1990,43,0.58
Alright,Janet Jackson,1990,44,0.57
Ice Ice Baby,Vanilla Ice,1990,45,0.56
Blame It on the Rain,Milli Vanilli,1990,46,0.55
Have You Seen Her,MC Hammer,1990,47,0.54
With Every Beat of My Heart,Taylor Dayne,1990,48,0.53
Come Back to Me,Janet Jackson,1990,49,0.52
No More Lies,Michel'le,1990,50,0.51
Praying for Time,George Michael,1990,51,0.5
How Can We Be Lovers,Michael Bolton,1990,52,0.49
