SONG_ID,SONG_TITLE,ARTIST_NAME,year,tempo,mfcc_1,mfcc_2,mfcc_3,mfcc_4,mfcc_5,mfcc_6,mfcc_7,mfcc_8,mfcc_9,mfcc_10,mfcc_11,mfcc_12,mfcc_13,chroma_mean_1,chroma_mean_2,chroma_mean_3,chroma_mean_4,chroma_mean_5,chroma_mean_6,chroma_mean_7,chroma_mean_8,chroma_mean_9,chroma_mean_10,chroma_mean_11,chroma_mean_12,chroma_std_1,chroma_std_2,chroma_std_3,chroma_std_4,chroma_std_5,chroma_std_6,chroma_std_7,chroma_std_8,chroma_std_9,chroma_std_10,chroma_std_11,chroma_std_12,spectral_centroid
1,Hold On,Wilson Phillips,1990,99.38401442,-111.4155,85.9852,-2.8657,19.1207,-2.2144,-3.5478,-0.6155,-0.7197,-3.6689,2.2332,-6.1657,-0.0505,-3.9544,0.5157,0.3244,0.2869,0.2407,0.3191,0.6203,0.3616,0.307,0.2489,0.3486,0.3053,0.258,0.3466,0.2368,0.286,0.2297,0.2414,0.3575,0.2474,0.2836,0.2244,0.3041,0.2703,0.2146,2528.9461
2,It Must Have Been Love,Roxette,1990,80.74951172,-57.2462,74.4311,-3.0041,21.0491,-1.2715,9.0532,4.0736,2.3865,-0.4497,8.3485,-0.8833,6.7247,-2.0489,0.5574,0.3629,0.4058,0.2504,0.3684,0.4,0.3006,0.4302,0.2902,0.3554,0.2977,0.3708,0.3533,0.2281,0.3245,0.1983,0.2898,0.3291,0.2129,0.3229,0.2293,0.3007,0.2699,0.2605,2751.6502
3,Nothing Compares 2 U,Sinéad O'Connor,1990,117.4538352,-128.9584,105.3754,-10.0804,30.4265,8.2154,1.543,-1.196,0.1659,-4.3916,6.1885,-7.3096,1.0136,-2.6106,0.5412,0.3249,0.338,0.2637,0.3394,0.4256,0.2749,0.3787,0.288,0.2874,0.2747,0.2788,0.3836,0.2277,0.32,0.2409,0.2883,0.343,0.2412,0.3233,0.2702,0.2833,0.294,0.2164,1909.6692
4,Poison,Bell Biv DeVoe,1990,112.3471467,-94.0458,72.1155,-8.3063,46.9462,14.4234,13.9292,-0.9239,9.8595,1.9288,7.1321,0.8944,4.4017,0.3582,0.4959,0.5346,0.4477,0.4316,0.4387,0.4678,0.5639,0.555,0.5998,0.6117,0.5133,0.5073,0.2783,0.3082,0.2876,0.2672,0.2569,0.2553,0.2835,0.2659,0.296,0.3103,0.2536,0.2775,2467.1892
5,Vogue,Madonna,1990,117.4538352,-85.9174,46.3611,17.3059,32.6471,9.7473,21.6245,4.6809,5.6664,0.004,9.5854,-0.4751,3.4258,-0.1763,0.4272,0.4167,0.4115,0.5607,0.4845,0.4866,0.5494,0.5207,0.6659,0.5587,0.6092,0.52,0.2691,0.2523,0.2435,0.2913,0.2752,0.2849,0.2977,0.2681,0.3025,0.2787,0.2851,0.2676,3312.0671
6,Vision of Love,Mariah Carey,1990,67.99958882,-137.0867,89.8082,5.9946,30.8218,9.0647,6.9284,2.1397,1.26,-5.407,4.7362,-9.2882,2.8832,-2.1136,0.5069,0.3325,0.3496,0.3082,0.3239,0.3404,0.3173,0.4317,0.277,0.2519,0.2606,0.3191,0.3688,0.2565,0.3126,0.2846,0.2858,0.3225,0.2662,0.3419,0.2449,0.2681,0.2733,0.2666,2228.715
7,Another Day in Paradise,Phil Collins,1990,103.359375,-124.9063,115.4408,10.3626,34.4964,2.7743,16.8549,-3.7446,0.1883,-3.0067,0.3125,-5.6391,-0.4826,-5.1153,0.4021,0.2861,0.251,0.5271,0.3668,0.4681,0.3041,0.356,0.4801,0.3039,0.403,0.319,0.3204,0.2451,0.1832,0.3511,0.191,0.3329,0.1943,0.2551,0.3333,0.2115,0.3307,0.2316,1738.1255
8,Hold On,En Vogue,1990,95.703125,-154.2756,53.8736,8.0963,11.5256,2.0464,2.4183,1.6651,1.3348,-1.7128,6.4186,-8.3061,0.4694,-0.7728,0.4901,0.4524,0.3329,0.3097,0.3702,0.4255,0.3329,0.3397,0.3631,0.3763,0.371,0.3631,0.3428,0.3355,0.2953,0.2917,0.3086,0.3435,0.2822,0.2972,0.3052,0.333,0.331,0.295,3034.681
9,Cradle of Love,Billy Idol,1990,143.5546875,-59.9925,94.1741,-4.8118,36.0625,2.3941,9.9875,2.0328,15.7383,-2.0389,4.3701,1.2233,3.9176,0.8412,0.4254,0.3528,0.4232,0.4091,0.4202,0.5301,0.382,0.4128,0.403,0.4482,0.5829,0.41,0.2927,0.2367,0.2781,0.2806,0.2673,0.3175,0.2347,0.2842,0.2596,0.2478,0.3362,0.2322,2236.222
10,Blaze of Glory,Jon Bon Jovi,1990,161.4990234,-53.8278,57.5648,6.9288,28.6093,5.5046,10.7741,-2.3629,9.1071,-7.2891,5.373,-4.233,-2.6621,-4.6045,0.2798,0.3587,0.5639,0.3545,0.2681,0.3144,0.3773,0.4382,0.3677,0.4795,0.3014,0.2661,0.2501,0.2513,0.3638,0.2321,0.2403,0.2902,0.2841,0.3491,0.244,0.3377,0.2224,0.2455,3066.0095
11,Do Me!,Bell Biv DeVoe,1990,107.6660156,-50.4979,73.987,-2.3066,29.1116,0.2335,8.5359,0.9462,9.3242,-3.9382,5.8645,-5.2408,3.2515,-1.3252,0.4533,0.4496,0.4204,0.3712,0.3223,0.3597,0.4043,0.46,0.4225,0.4087,0.4885,0.4656,0.3146,0.3153,0.3067,0.288,0.2595,0.2738,0.2937,0.3169,0.2888,0.2857,0.3211,0.306,2731.5826
12,How Am I Supposed to Live Without You,Michael Bolton,1990,69.83741554,-196.8126,72.113,24.3988,19.8975,2.5134,11.4566,-0.1512,2.049,-4.2609,0.83,0.6021,-2.0727,-3.8307,0.3386,0.3131,0.4066,0.42,0.3531,0.4173,0.3374,0.2787,0.2487,0.3088,0.3533,0.2906,0.3126,0.2672,0.3258,0.329,0.2628,0.3332,0.2862,0.2605,0.2439,0.2827,0.3019,0.2677,2951.8839
13,Pump Up the Jam,Technotronic,1990,123.046875,-96.4573,49.386,21.2057,27.6782,10.642,8.5708,1.8738,10.2684,-5.0192,8.5858,-3.8491,4.7049,-2.8915,0.6227,0.5671,0.5489,0.5737,0.5097,0.419,0.4201,0.5089,0.462,0.4597,0.582,0.556,0.2969,0.2613,0.2716,0.2927,0.262,0.2439,0.2335,0.2747,0.2627,0.2644,0.2972,0.2614,3503.3571
14,Opposites Attract,Paula Abdul,1990,117.4538352,-82.0321,52.3776,8.9065,9.8236,1.0661,7.6389,-1.4083,4.0733,-1.1534,6.5643,-0.5593,5.0836,-0.1476,0.5915,0.4559,0.4398,0.4711,0.4355,0.4911,0.4082,0.4753,0.3676,0.3882,0.4599,0.4422,0.3333,0.2699,0.2729,0.2981,0.2651,0.3171,0.2517,0.3074,0.2489,0.2575,0.2961,0.2708,3464.1291
15,Escapade,Janet Jackson,1990,117.4538352,-38.1103,56.8556,-0.4959,14.4285,12.8159,11.2598,0.1402,3.7456,2.7376,8.3904,-1.5308,2.5754,-1.0098,0.4915,0.4841,0.4583,0.5138,0.4241,0.4576,0.3668,0.4369,0.6528,0.5043,0.4825,0.424,0.2962,0.2873,0.2878,0.3021,0.2551,0.2907,0.2443,0.2443,0.3193,0.2884,0.3011,0.273,3183.0632
16,All I Wanna Do Is Make Love to You,Heart,1990,103.359375,-37.949,80.7711,2.4652,21.75,7.4823,6.9075,-1.9965,6.5978,-6.4853,4.7275,-6.4347,-0.7037,-7.6232,0.3488,0.31,0.5113,0.2876,0.3221,0.2433,0.4166,0.5232,0.3135,0.4047,0.3013,0.4182,0.2827,0.2144,0.3323,0.1946,0.2815,0.1936,0.2821,0.3299,0.216,0.3248,0.2278,0.3107,2663.9879
17,Close to You,Maxi Priest,1990,95.703125,-170.2391,76.6356,34.3661,28.6473,15.4704,8.9817,-5.1664,3.5876,-4.3993,3.1964,-3.6558,0.8627,-6.1458,0.383,0.4054,0.3784,0.4298,0.3671,0.4025,0.4042,0.3211,0.3916,0.3986,0.4653,0.4305,0.3085,0.3151,0.2805,0.3252,0.2782,0.3103,0.3126,0.2655,0.3287,0.2999,0.3379,0.3303,2553.2827
18,Black Velvet,Alannah Myles,1990,92.28515625,-137.7857,77.5657,24.4028,34.0856,10.4575,11.5315,3.4317,5.6078,0.2742,3.187,-5.7645,-2.0953,-6.837,0.2565,0.3437,0.4083,0.5561,0.3487,0.3121,0.385,0.3343,0.4481,0.3691,0.4839,0.3395,0.2005,0.2923,0.2632,0.3551,0.2452,0.2331,0.3074,0.2369,0.3356,0.2434,0.3445,0.2627,2584.2054
19,Release Me,Wilson Phillips,1990,95.703125,-153.4478,83.1196,4.9377,20.1919,3.927,-0.5896,1.4699,0.6416,-7.4101,2.9708,-8.4324,0.9939,-4.7054,0.4716,0.3462,0.4475,0.2874,0.3532,0.309,0.2946,0.5348,0.3241,0.3983,0.2529,0.3118,0.3497,0.2249,0.3483,0.2222,0.3006,0.2632,0.2139,0.3391,0.1893,0.3393,0.2093,0.2525,2563.3294
20,Don't Know Much,Linda Ronstadt featuring Aaron Neville,1990,64.59960938,-372.0907,111.4915,-2.0738,23.4834,2.5093,1.0708,-4.2929,0.509,-3.3575,0.1295,-8.6336,-1.5728,-4.6059,0.2733,0.3788,0.2277,0.3259,0.3837,0.311,0.331,0.2685,0.45,0.2813,0.2666,0.3425,0.2323,0.3569,0.2108,0.3015,0.3503,0.2811,0.3346,0.2294,0.3577,0.2678,0.2583,0.3224,1880.5505
21,All Around the World,Lisa Stansfield,1990,99.38401442,-101.4722,48.9867,27.2578,21.5362,5.9203,1.1064,-4.7845,2.0781,-2.1962,3.3315,-7.4621,-0.8161,-3.7069,0.4926,0.3629,0.4016,0.3453,0.431,0.3029,0.256,0.3653,0.3321,0.3819,0.3166,0.4357,0.3311,0.2754,0.3208,0.2791,0.3437,0.2669,0.2278,0.3122,0.2688,0.3245,0.2465,0.3006,3601.7133
22,I Wanna Be Rich,Calloway,1990,112.3471467,-106.9599,52.2654,-6.5021,16.45,1.0492,6.14,-1.1493,3.5835,-2.3235,3.3427,-1.558,2.9113,-1.378,0.469,0.4441,0.5947,0.4136,0.4073,0.3704,0.4066,0.5541,0.4161,0.4814,0.4394,0.4966,0.2945,0.2747,0.3186,0.2569,0.2881,0.271,0.2561,0.3229,0.2581,0.3127,0.2849,0.2921,3266.851
23,Rub You the Right Way,Johnny Gill,1990,112.3471467,-37.8723,70.7322,-7.8342,17.646,0.7963,14.1069,1.7979,9.0435,-0.5504,6.2006,1.0869,8.0768,-4.0811,0.532,0.5219,0.5553,0.4519,0.4497,0.5378,0.3907,0.3682,0.4253,0.5575,0.4995,0.4456,0.2976,0.2761,0.3118,0.2635,0.2458,0.2943,0.235,0.2529,0.2545,0.3014,0.2913,0.2641,2810.9066
