Song Name,Artist Name
Lose Control,Teddy Swims
A Bar Song (Tipsy),Shaboozey
Beautiful Things,Benson Boone
I Had Some Help,Post Malone featuring Morgan Wallen
Lovin on Me,Jack Harlow
Not Like Us,Kendrick Lamar
Espresso,Sabrina Carpenter
Million Dollar Baby,Tommy Richman
I Remember Everything,Zach Bryan featuring Kacey Musgraves
Too Sweet,Hozier
Stick Season,Noah Kahan
Cruel Summer,Taylor Swift
Greedy,Tate McRae
Like That,"Future, Metro Boomin and Kendrick Lamar"
Birds of a Feather,Billie Eilish
Please Please Please,Sabrina Carpenter
Agora Hills,Doja Cat
"Good Luck, Babe!",Chappell Roan
Saturn,SZA
Snooze,SZA
Paint the Town Red,Doja Cat
Fortnight,Taylor Swift featuring Post Malone
Fast Car,Luke Combs
Water,Tyla
Feather,Sabrina Carpenter
We Can't Be Friends (Wait for Your Love),Ariana Grande
Austin,Dasha
Last Night,Morgan Wallen
Cowgirls,Morgan Wallen featuring Ernest
Pink Skies,Zach Bryan
Thinkin' Bout Me,Morgan Wallen
Texas Hold 'Em,Beyoncé
Is It Over Now?,Taylor Swift
Miles on It,Marshmello and Kane Brown
I Can Do It with a Broken Heart,Taylor Swift
Wild Ones,Jessie Murph and Jelly Roll
Ain't No Love in Oklahoma,Luke Combs
Carnival,¥$ (Kanye West and Ty Dolla Sign) featuring Rich the Kid and Playboi Carti
Houdini,Eminem
Wanna Be,GloRilla and Megan Thee Stallion
Slow It Down,Benson Boone
Redrum,21 Savage
Houdini,Dua Lipa
Yeah Glo!,GloRilla
Rich Baby Daddy,Drake featuring Sexyy Red and SZA
What Was I Made For?,Billie Eilish
End of Beginning,Djo
Lunch,Billie Eilish
Never Lose Me,Flo Milli
Lies Lies Lies,Morgan Wallen
Type Shit,"Future, Metro Boomin, Travis Scott, and Playboi Carti"
Gata Only,FloyyMenor and Cris MJ
Hot to Go!,Chappell Roan
All I Want for Christmas Is You,Mariah Carey
Get It Sexyy,Sexyy Red
Made for Me,Muni Long
Vampire,Olivia Rodrigo
Whatever She Wants,Bryson Tiller
Rockin' Around the Christmas Tree,Brenda Lee
Pretty Little Poison,Warren Zeiders
First Person Shooter,Drake featuring J. Cole
Die with a Smile,Lady Gaga and Bruno Mars
I Like the Way You Kiss Me,Artemas
Need a Favor,Jelly Roll
Save Me,Jelly Roll featuring Lainey Wilson
Euphoria,Kendrick Lamar
Truck Bed,Hardy
Jingle Bell Rock,Bobby Helms
Flowers,Miley Cyrus
Where the Wild Things Are,Luke Combs
Everybody,Nicki Minaj featuring Lil Uzi Vert
La Diabla,Xavi
Stargazing,Myles Smith
Last Christmas,Wham!
I Am Not Okay,Jelly Roll
Pour Me a Drink,Post Malone featuring Blake Shelton
White Horse,Chris Stapleton
Lil Boo Thang,Paul Russell
Good Good,"Usher, Summer Walker and 21 Savage"
Act II: Date @ 8,4Batz and Drake
High Road,Koe Wetzel featuring Jessie Murph
Monaco,Bad Bunny
IDGAF,Drake featuring Yeat
Burn It Down,Parker McCollum
FukUMean,Gunna
Taste,Sabrina Carpenter
Where It Ends,Bailey Zimmerman
FTCU,Nicki Minaj
Wildflower,Billie Eilish
World on Fire,Nate Smith
On My Mama,Victoria Monét
"Yes, And?",Ariana Grande
Exes,Tate McRae
A Holly Jolly Christmas,Burl Ives
Wind Up Missin' You,Tucker Wetmore
Bulletproof,Nate Smith
Fe!n,Travis Scott featuring Playboi Carti
The Painter,Cody Johnson
Down Bad,Taylor Swift
Dance the Night,Dua Lipa
