song_title,artist,tempo,mfcc_1,mfcc_2,mfcc_3,mfcc_4,mfcc_5,mfcc_6,mfcc_7,mfcc_8,mfcc_9,mfcc_10,mfcc_11,mfcc_12,mfcc_13,chroma_mean_1,chroma_mean_2,chroma_mean_3,chroma_mean_4,chroma_mean_5,chroma_mean_6,chroma_mean_7,chroma_mean_8,chroma_mean_9,chroma_mean_10,chroma_mean_11,chroma_mean_12,chroma_std_1,chroma_std_2,chroma_std_3,chroma_std_4,chroma_std_5,chroma_std_6,chroma_std_7,chroma_std_8,chroma_std_9,chroma_std_10,chroma_std_11,chroma_std_12,spectral_centroid
Thrift Shop,Macklemore & Ryan Lewis featuring Wanz,95.703125,-78.1161,66.2999,-5.8817,11.9258,1.3999,7.8132,-3.3661,4.6178,-1.3649,4.5838,1.5167,8.1075,1.5556,0.4366,0.4247,0.414,0.5016,0.3576,0.3434,0.3512,0.3848,0.5458,0.5051,0.4611,0.4815,0.2828,0.3027,0.2835,0.3249,0.2526,0.2769,0.2543,0.2544,0.3311,0.3127,0.2894,0.3091,2853.9716
Blurred Lines,Robin Thicke featuring T.I. and Pharrell Williams,117.45383522727273,-210.0142,80.5278,17.0413,13.0902,10.7132,7.0573,-4.9918,6.8632,2.1188,2.0254,-2.7315,5.0348,0.7594,0.3904,0.4394,0.4961,0.4199,0.3487,0.355,0.4032,0.4363,0.446,0.4834,0.4249,0.3805,0.3159,0.31,0.3513,0.3319,0.3046,0.3104,0.3122,0.3433,0.3015,0.3135,0.3035,0.2987,2300.1381
Radioactive,Imagine Dragons,135.99917763157896,-27.5011,109.139,-16.7581,25.4271,-1.1313,6.1808,-4.2434,8.5909,-4.4224,2.8913,-1.5906,2.8992,-0.2065,0.3237,0.3522,0.3567,0.3214,0.4344,0.3044,0.3844,0.2761,0.3828,0.4836,0.3961,0.5389,0.227,0.2738,0.2864,0.2376,0.3297,0.2385,0.3186,0.2331,0.2975,0.3412,0.2416,0.3464,1947.3844
Harlem Shake,Baauer,143.5546875,-55.6825,54.3771,3.0168,29.2782,3.5135,5.6388,-4.4627,4.8045,-5.3081,4.447,-4.5579,5.6193,-4.3324,0.5517,0.4704,0.4113,0.4365,0.5323,0.5564,0.392,0.4203,0.5143,0.5678,0.5916,0.5905,0.3271,0.2734,0.2554,0.2928,0.2839,0.3096,0.2173,0.245,0.2935,0.3154,0.3139,0.3284,3006.8858
Can't Hold Us,Macklemore & Ryan Lewis featuring Ray Dalton,143.5546875,-8.1937,81.9888,-10.9059,16.1543,4.7161,3.1839,-3.3038,5.9,-3.6227,8.1477,2.3702,4.1601,3.2072,0.3466,0.3354,0.4634,0.4385,0.5513,0.3863,0.3919,0.3573,0.3468,0.3859,0.3506,0.4601,0.2713,0.2627,0.3355,0.2675,0.3397,0.2569,0.2853,0.2781,0.2731,0.3079,0.2641,0.3162,2598.4637
Mirrors,Justin Timberlake,151.99908088235293,-108.015,105.9927,-13.5837,22.1416,0.2695,4.3241,-3.2399,6.7076,-0.8218,3.6491,0.2925,2.9388,-3.3022,0.3856,0.2642,0.3487,0.3983,0.3298,0.4804,0.3299,0.4616,0.3789,0.3123,0.3671,0.3088,0.3232,0.2244,0.2856,0.3245,0.2423,0.3627,0.2302,0.3409,0.3114,0.2593,0.3202,0.2424,1978.6775
Just Give Me a Reason,Pink featuring Nate Ruess,95.703125,-139.0219,114.0518,0.0251,19.5996,10.635,3.5563,10.4707,5.7625,-0.0212,5.2113,-6.7374,3.5342,-2.8485,0.3529,0.3508,0.518,0.366,0.3634,0.2988,0.374,0.4465,0.3196,0.3726,0.3276,0.4142,0.3001,0.253,0.3508,0.2372,0.3176,0.2605,0.3009,0.3354,0.2575,0.3141,0.2528,0.3189,1805.4142
When I Was Your Man,Bruno Mars,73.828125,-154.6724,117.6981,-1.2623,4.5805,-0.6704,-5.303,-11.4529,-9.5683,-11.9318,-3.9436,-8.7335,-9.2345,-10.1853,0.2718,0.167,0.2488,0.2025,0.3278,0.2595,0.2068,0.3559,0.2505,0.324,0.2032,0.2205,0.3136,0.2009,0.3165,0.2366,0.3507,0.293,0.2179,0.3825,0.2374,0.3728,0.218,0.2782,1686.8439
Cruise,Florida Georgia Line featuring Nelly,151.99908088235293,-118.0693,73.3223,-6.0404,16.4695,1.8641,10.9546,2.1749,5.57,-0.1436,3.3533,-0.7681,6.9251,-1.3073,0.4716,0.3541,0.4678,0.3453,0.3633,0.508,0.3408,0.3615,0.3251,0.4088,0.473,0.36,0.3373,0.2483,0.3402,0.2712,0.2637,0.329,0.25,0.2976,0.27,0.2935,0.3395,0.245,2497.2864
Roar,Katy Perry,89.10290948275862,-43.3205,87.1342,-9.822,28.647,2.4007,7.7114,6.7612,11.9739,4.8839,8.9159,-3.2469,4.5319,-1.0855,0.4229,0.3222,0.4172,0.3089,0.2965,0.468,0.3503,0.4188,0.3812,0.4749,0.613,0.4057,0.3221,0.2312,0.2971,0.2614,0.2289,0.3256,0.2351,0.3183,0.2688,0.2771,0.3281,0.2501,2347.652
