SONG_TITLE,ARTIST_NAME,SONG_ID,Concept_Love,Concept_Heartbreak,Concept_Partying,Concept_Drugs,Concept_Sex,Concept_Violence,Concept_Self-Empowerment,Concept_Success,Concept_Hope,Concept_Celebration,Concept_Coming_Of_Age,Concept_Loneliness,Concept_Struggle,Concept_Friendship,Concept_Traveling,ConceptUncertainty_Love,ConceptUncertainty_Heartbreak,ConceptUncertainty_Partying,ConceptUncertainty_Drugs,ConceptUncertainty_Sex,ConceptUncertainty_Violence,ConceptUncertainty_Self-Empowerment,ConceptUncertainty_Success,ConceptUncertainty_Hope,ConceptUncertainty_Celebration,ConceptUncertainty_Coming_Of_Age,ConceptUncertainty_Loneliness,ConceptUncertainty_Struggle,ConceptUncertainty_Friendship,ConceptUncertainty_Traveling
Hold On,Wilson Phillips,lyrics_full_00000,2.326174,0.016264327,9.783582,8.633,8.739918,6.363842,9.885288,9.930166,6.1533394,9.64569,6.9370546,0.07896751,6.3280306,2.8338182,1.4302549,1.0887308,0.005303054,0.11543113,0.7790929,1.152585,2.2007697,0.08732162,0.042281594,1.2940456,0.42167968,1.6029458,0.03841392,1.4563706,0.95029724,0.7299689
It Must Have Been Love,Roxette,lyrics_full_00001,7.22595,6.838089,0.032686092,0.23175111,0.2599467,1.0062566,0.27137002,0.016474292,6.7181897,0.013736913,1.6695771,3.607635,0.5455663,0.64147526,2.855044,1.373333,1.7284632,0.018834462,0.18774258,0.10537082,0.8114824,0.20714861,0.0036261869,1.7414623,0.0093268305,1.2909882,2.1594846,0.1352129,0.7250345,2.159153
Nothing Compares 2 U,Sinéad O'Connor,lyrics_full_00002,7.70752,8.300073,1.1013931,0.13930672,1.921449,0.1159125,7.677127,1.1997163,7.9196873,0.75643593,1.3812878,3.537632,7.3926735,7.8762007,0.029146463,0.4287197,1.6374034,0.7520082,0.033546954,1.2317098,0.078869656,1.091857,0.55451965,1.2097927,0.27608576,0.7922963,1.7058654,1.5612319,1.6490995,0.022045476
Poison,Bell Biv DeVoe,lyrics_full_00003,5.6856875,8.971855,0.9929913,0.8558097,1.7614515,0.5368206,2.5027924,1.6163619,4.3357263,1.0429559,0.92224574,8.250974,8.002066,3.8075652,0.08985537,2.1763232,0.6594591,1.2423168,0.47170904,2.493162,0.27731428,2.8133297,1.509656,2.4085453,1.1159315,0.5107928,1.8852657,1.155491,3.5943317,0.07296881
Vogue,Madonna,lyrics_full_00004,0.32678884,0.054259367,8.384868,0.1936354,0.3618247,0.28164607,9.050197,9.299393,7.4130945,0.71036625,0.3656183,0.06119687,0.5412316,0.24169129,0.16423118,0.067698106,0.007972112,0.26600942,0.047567826,0.08335508,0.11904776,0.07952361,0.08595219,0.24302664,0.1607002,0.06561312,0.024435975,0.08947716,0.05294051,0.05245963
Vision of Love,Mariah Carey,lyrics_full_00005,9.303451,9.614794,0.055084,0.042217184,0.024385229,1.3821973,0.66415775,0.027357388,6.092352,0.13824952,1.2170691,5.5096855,5.632015,2.6308208,0.08585137,0.33801663,0.1526836,0.037748773,0.022458605,0.012988513,1.3636141,0.6197795,0.023829516,1.7612796,0.14477167,0.84766984,1.8426584,1.4133763,1.7805393,0.07479039
Another Day in Paradise,Phil Collins,lyrics_full_00006,9.723733,9.9171295,0.25383157,0.14458542,0.17231889,0.25898772,4.2874317,0.20061314,5.030492,1.6637373,2.3655384,6.7685785,9.0965805,3.7262754,0.31533295,0.20328961,0.05791882,0.255878,0.17174207,0.2143642,0.15480402,1.2686772,0.13937585,0.8622719,0.841344,1.4275837,1.347184,0.49536037,2.3555727,0.10729121
Hold On,En Vogue,lyrics_full_00007,7.681529,4.282845,0.15070081,0.003878937,0.14296964,0.09650752,1.8524573,0.13445689,7.9557505,0.6799496,0.64732206,0.33467013,0.42585367,0.21449324,0.107050136,1.7798359,1.3130221,0.18967776,0.001426888,0.076260164,0.11064261,1.4412153,0.12762654,0.54995936,1.0327325,0.32472086,0.22828318,0.16331601,0.21536288,0.051288225
Cradle of Love,Billy Idol,lyrics_full_00008,5.585841,6.705102,0.2757071,0.02051406,1.1888453,0.04378424,0.18214014,0.19257815,1.6522212,0.37093335,4.0415397,0.93190587,0.32788828,0.32997286,1.1625304,0.8495718,1.313772,0.32632977,0.014948297,0.8609147,0.03722316,0.06212634,0.12743124,1.2426934,0.320667,1.4498967,0.9143788,0.11366102,0.19176692,0.782015
Blaze of Glory,Jon Bon Jovi,lyrics_full_00009,9.179082,9.734347,0.10317565,0.033713873,0.084791005,0.027134553,3.6504197,0.3153257,7.3950033,0.2886755,3.5118363,6.9717274,8.597984,8.761759,1.0404582,0.45646173,0.19207317,0.035424855,0.02929548,0.05805611,0.030622704,1.5368145,0.260224,0.7957243,0.10085034,1.68168,2.5943274,0.6414075,0.55275893,0.75408936
Do Me!,Bell Biv DeVoe,lyrics_full_00010,6.540161,1.915863,0.03604462,0.84586847,0.617149,0.68888414,2.9472065,0.6007296,4.237367,0.023652162,0.812562,2.9381542,2.511176,0.040870592,0.16208717,1.891412,1.3247774,0.024059845,0.911098,0.4986896,1.0769974,1.7943833,0.62548983,2.1872811,0.026705954,0.9553422,2.1875172,2.5536764,0.029837573,0.14852308
How Am I Supposed to Live Without You,Michael Bolton,lyrics_full_00011,8.825779,4.506971,3.168015,0.34917668,4.2197404,2.0045898,0.5456352,0.46256042,0.8518113,2.2973013,1.3230155,3.51725,3.323812,2.8100896,7.097596,0.65644586,3.128333,2.372798,0.12615082,1.6720095,1.5822072,0.43527764,0.40591538,0.9372801,1.4343817,0.59397376,3.2858677,2.775986,2.5813146,2.0608249
Pump Up the Jam,Technotronic,lyrics_full_00012,7.8114758,2.864738,3.5132468,3.2801034,7.005592,2.2245076,2.9963164,2.175257,3.604392,5.6855464,5.0133553,1.1131029,2.5111938,1.1265826,6.8499556,1.3415985,1.5983322,2.9777455,3.609602,2.1923838,1.6669403,1.4835633,2.582778,1.3785586,3.773481,2.2402012,0.7968191,1.5522699,0.72513455,2.6503837
Opposites Attract,Paula Abdul,lyrics_full_00013,4.3457136,4.8241878,6.348147,1.7110333,3.2658892,2.3881733,5.715996,7.9547777,7.726857,8.829576,5.6883545,1.3381304,4.507898,2.5027828,7.258662,1.980999,0.5312692,2.146937,2.3095868,2.1648753,1.6265578,2.6169503,1.2473058,0.9743537,0.7280787,1.8829356,0.98084396,2.374433,2.143201,2.1666358
Escapade,Janet Jackson,lyrics_full_00014,6.864724,8.535243,1.1303864,1.2764429,0.3174703,0.44122338,2.8661456,0.085447125,6.6656027,1.1368728,9.281426,9.54181,8.2173,7.2415676,2.993214,1.0824255,0.828303,1.1192994,0.9360952,0.2500355,0.5099816,2.1135955,0.11370781,1.032198,0.7348856,0.38312915,0.19741479,0.8279436,2.053303,2.1465251
All I Wanna Do Is Make Love to You,Heart,lyrics_full_00015,9.502458,9.886396,0.34205526,0.03225717,0.40366387,0.022544496,1.7079735,0.26234916,6.6803513,1.6420834,3.0282803,8.621953,7.163187,8.974747,3.0107183,0.5844177,0.04737932,0.21426289,0.01303248,0.18096624,0.012780268,2.19717,0.3047245,3.0325677,1.7956622,2.0215845,1.0485177,0.6074655,0.8049581,2.2975585
Close to You,Maxi Priest,lyrics_full_00016,9.394316,9.914456,0.44517782,0.10442533,0.059656456,0.61322784,0.30691794,0.24252108,1.6384162,0.19457653,3.137053,9.24845,8.62535,3.0173287,0.6356711,0.19630598,0.08009351,0.41610357,0.09571065,0.0290576,0.68192995,0.21416944,0.32251778,0.34854597,0.08639396,1.061746,1.0465541,0.9610461,1.386178,0.33552155
Black Velvet,Alannah Myles,lyrics_full_00017,9.267724,9.681642,0.3752243,0.025805153,0.04210699,0.07633799,9.113955,2.96106,9.67375,2.915247,3.3278189,4.6903334,6.3877416,8.719831,0.2001938,0.3500607,0.09334967,0.30362713,0.007503681,0.024718452,0.052046012,0.29501978,1.4549065,0.19685051,1.7689329,1.359557,0.8889185,1.6562917,0.72034454,0.18223727
Release Me,Wilson Phillips,lyrics_full_00018,1.8528464,0.69536805,8.536467,5.5299416,1.7613401,0.90909415,9.601876,9.278781,7.2493057,9.046016,8.680427,1.6466804,8.571182,7.756218,3.9376454,1.660032,0.65180266,0.7966598,3.1499019,1.9994764,0.68521404,0.16491565,0.94470286,1.5644107,0.72585213,0.80994153,1.4095956,1.3222952,1.1183469,1.1431874
Don't Know Much,Linda Ronstadt,lyrics_full_00019,9.872234,8.837843,0.50236654,0.7137432,0.7393413,0.19394985,1.6721536,0.2946294,3.9821687,0.16366383,0.102833815,0.5473133,4.509677,0.22960187,0.45933303,0.1041149,0.086355396,0.37842208,0.5844362,0.34543687,0.10187202,0.8311904,0.2380226,1.878567,0.16281086,0.056661908,0.33024046,1.8073599,0.18038504,0.3106956
All Around the World,Lisa Stansfield,lyrics_full_00020,8.727914,2.7129788,0.5147229,6.2417927,2.9497929,0.35908914,7.7101846,2.1392684,8.19476,0.8522059,5.3970404,0.708411,6.1603327,0.52979136,4.9661875,0.92888886,2.0177274,0.5712023,1.2296162,1.790833,0.26230624,1.2740788,3.1320999,0.89454705,1.0779345,2.0653994,0.40588275,1.0432183,0.4997538,3.1377435
I Wanna Be Rich,Calloway,lyrics_full_00021,1.7009184,2.1379566,1.4811602,0.11231616,0.3761648,0.53552806,0.41888013,1.3156624,0.5300898,0.19386494,0.08380255,2.3933663,0.99580616,0.037182238,0.26909626,1.1546559,0.48143387,0.73680675,0.14749968,0.19039424,0.61993384,0.27290443,0.5179403,0.3423609,0.14940399,0.057732318,1.4054263,0.74935967,0.011699026,0.17267616
Rub You the Right Way,Johnny Gill,lyrics_full_00022,1.3316244,1.5415366,6.654476,1.7216113,0.805229,0.3096286,9.697865,8.656983,8.278273,7.628831,6.8553786,0.91937244,8.440355,8.190977,5.62899,0.7708187,0.60293907,2.20536,1.7122109,1.4316795,0.25646952,0.04138537,0.72932297,0.3915037,1.5789546,0.9215256,0.44706136,0.68203926,1.8783941,1.8458958
She Ain't Worth It,Glenn Medeiros,lyrics_full_00023,6.3291883,9.748137,3.2616785,4.9737206,3.0023396,6.704644,4.686985,2.9151738,4.445038,4.8513293,6.4541473,9.434152,8.468063,8.612859,1.8017235,2.6983595,0.20497176,2.8574805,3.3460426,2.5408733,2.657329,2.7087376,3.2288501,1.9705279,2.8534636,1.5407357,0.5609166,1.6959157,0.9297842,1.2887834
If Wishes Came True,Sweet Sensation,lyrics_full_00024,7.8696413,9.930704,0.08060263,0.051154338,0.06919184,1.8193858,0.29115528,0.06640947,1.3059014,0.12062049,2.1611528,8.2351885,6.226227,0.8339416,0.91720116,0.5596424,0.023641177,0.019818505,0.029754182,0.03496911,0.76577663,0.14475273,0.06949732,0.69787574,0.060844664,1.2976772,1.4922197,1.6330671,1.0473268,0.3103507
The Power,Snap!,lyrics_full_00025,7.4497023,3.860513,0.40917003,0.28886595,1.2063658,0.123438604,0.27120483,1.223944,3.1693242,0.29339918,1.1803705,0.19598858,1.7514426,0.3519885,1.642138,0.97111225,2.379248,0.40048656,0.23374528,0.9554822,0.12263347,0.2546859,0.99777484,2.127189,0.5028616,0.78419894,0.15507959,2.2493634,0.34872386,0.9095477
Love and Affection,Nelson,lyrics_full_00026,7.3306637,9.343716,0.2805409,0.4268131,2.8190274,1.253284,0.5236201,0.3239703,2.560039,0.2659299,0.41014808,7.380538,5.416979,0.9530618,0.07539159,1.3036494,0.37662253,0.23513885,0.21321592,2.0588489,1.2747775,0.4371484,0.26422882,1.6318731,0.22755635,0.36770615,2.50869,0.7626158,1.5534279,0.08426397
Love Will Lead You Back,Taylor Dayne,lyrics_full_00027,6.344658,9.459621,0.011922331,0.07065532,0.05997307,0.5033575,0.2682345,0.09502651,1.0133352,0.09112255,2.4522676,5.4388676,6.060067,0.39067107,0.33223337,2.471441,0.38291246,0.0053324355,0.022640727,0.06377941,0.29659823,0.101872765,0.05211402,0.5431667,0.080921166,1.1535801,2.6932428,2.1381238,0.22201183,0.24793741
Don't Wanna Fall in Love,Jane Child,lyrics_full_00028,9.257215,8.012741,0.28036693,0.10401608,0.15494505,0.73860514,3.3831234,0.022379488,2.6453762,0.042579416,7.9857273,7.6803055,4.4833403,0.054868907,1.4558122,0.3339585,1.3038385,0.2377195,0.06636025,0.09387058,0.39666867,1.5437181,0.013732239,0.7515168,0.023137242,0.67115635,2.7092912,1.6827061,0.038091198,1.4388795
Two to Make It Right,Seduction,lyrics_full_00029,1.3296523,0.13585244,9.199921,9.547062,6.9114437,7.3961234,9.70109,9.870673,3.8267412,9.117861,8.085592,0.598882,8.61606,2.0255258,1.8454666,1.0757052,0.054381993,0.3134588,0.30692533,1.1774868,1.4656991,0.12844327,0.102756634,1.5641024,0.53308934,1.2436059,0.4949422,0.663062,0.948462,1.6367838
Sending All My Love,Linear,lyrics_full_00030,9.524096,8.093545,0.086604245,0.008113819,0.37842184,0.12231103,0.12213142,0.026455352,0.9869777,0.038042404,0.18820885,3.2162247,0.8597559,0.19229203,0.12348157,0.24983618,1.1704905,0.054046392,0.00787259,0.36856773,0.115750544,0.062738314,0.007997501,0.8966799,0.0037358063,0.11411789,2.2678268,0.5629602,0.2483023,0.09055601
Unskinny Bop,Poison,lyrics_full_00031,7.009345,7.609269,0.14894418,0.20472305,1.1202695,1.90903,1.3201593,0.18543091,2.172998,0.042882852,0.721465,7.4073668,3.2066703,0.2697768,0.011834069,2.0268164,2.4231849,0.07947744,0.21704492,0.76112914,2.7910357,0.9191747,0.2713743,1.3445399,0.023643335,0.6607989,3.0276399,2.3812413,0.29584944,0.0072195637
