title,artist,song_id,audio_id,Concept_Love,Concept_Heartbreak,Concept_Partying,Concept_Drugs,Concept_Sex,Concept_Violence,Concept_Self-Empowerment,Concept_Success,Concept_Hope,Concept_Celebration,Concept_Coming_Of_Age,Concept_Loneliness,Concept_Struggle,Concept_Friendship,Concept_Traveling,hit_score_100,hit_score_source,top_concepts_json,top_concepts
"10,000 Hours",Dan + Shay and Justin Bieber,lyrics_full_02984,2986,8.514543,2.9982538,0.36514792,0.16552225,2.5310755,0.54478884,0.7975446,1.1317632,1.4644991,0.2156538,0.11594236,0.52696365,0.2907877,0.06976542,0.37600136,,unavailable,"[{""name"": ""Love"", ""score"": 8.514543, ""column"": ""Concept_Love""}, {""name"": ""Heartbreak"", ""score"": 2.9982538, ""column"": ""Concept_Heartbreak""}, {""name"": ""Sex"", ""score"": 2.5310755, ""column"": ""Concept_Sex""}, {""name"": ""Hope"", ""score"": 1.4644991, ""column"": ""Concept_Hope""}, {""name"": ""Success"", ""score"": 1.1317632, ""column"": ""Concept_Success""}]","Love, Heartbreak, Sex, Hope, Success"
100% Pure Love,Crystal Waters,lyrics_full_00441,443,6.4051714,0.7293433,0.6235526,0.039999142,0.2823249,0.09628935,3.161459,1.27296,5.0390406,0.6520932,6.1233797,0.82142603,1.7466319,0.051220335,1.2956109,,unavailable,"[{""name"": ""Love"", ""score"": 6.4051714, ""column"": ""Concept_Love""}, {""name"": ""Coming Of Age"", ""score"": 6.1233797, ""column"": ""Concept_Coming_Of_Age""}, {""name"": ""Hope"", ""score"": 5.0390406, ""column"": ""Concept_Hope""}, {""name"": ""Self Empowerment"", ""score"": 3.161459, ""column"": ""Concept_Self-Empowerment""}, {""name"": ""Struggle"", ""score"": 1.7466319, ""column"": ""Concept_Struggle""}]","Love, Coming Of Age, Hope, Self Empowerment, Struggle"
100 Years,Five for Fighting,lyrics_full_01448,1450,9.923344,9.156189,2.0955384,5.080735,7.610891,0.15845513,2.329794,1.7637323,2.9702928,1.7091368,0.5841846,1.2821178,5.8767076,0.42268926,0.6985923,,unavailable,"[{""name"": ""Love"", ""score"": 9.923344, ""column"": ""Concept_Love""}, {""name"": ""Heartbreak"", ""score"": 9.156189, ""column"": ""Concept_Heartbreak""}, {""name"": ""Sex"", ""score"": 7.610891, ""column"": ""Concept_Sex""}, {""name"": ""Struggle"", ""score"": 5.8767076, ""column"": ""Concept_Struggle""}, {""name"": ""Drugs"", ""score"": 5.080735, ""column"": ""Concept_Drugs""}]","Love, Heartbreak, Sex, Struggle, Drugs"
1979,The Smashing Pumpkins,lyrics_full_00634,636,9.633739,9.601749,1.5463465,1.2788684,1.6944745,0.6825484,6.225647,0.2761985,7.8151584,2.1298945,3.4626431,3.9634058,5.1186533,7.1542625,0.07037559,,unavailable,"[{""name"": ""Love"", ""score"": 9.633739, ""column"": ""Concept_Love""}, {""name"": ""Heartbreak"", ""score"": 9.601749, ""column"": ""Concept_Heartbreak""}, {""name"": ""Hope"", ""score"": 7.8151584, ""column"": ""Concept_Hope""}, {""name"": ""Friendship"", ""score"": 7.1542625, ""column"": ""Concept_Friendship""}, {""name"": ""Self Empowerment"", ""score"": 6.225647, ""column"": ""Concept_Self-Empowerment""}]","Love, Heartbreak, Hope, Friendship, Self Empowerment"
19 Somethin',Mark Wills,lyrics_full_01355,1357,8.837466,2.940946,0.08685315,3.0766704,2.1788294,2.3335717,2.625918,0.23862424,3.8856916,0.08204891,0.32438314,1.5178667,2.630951,0.07947196,0.022335317,,unavailable,"[{""name"": ""Love"", ""score"": 8.837466, ""column"": ""Concept_Love""}, {""name"": ""Hope"", ""score"": 3.8856916, ""column"": ""Concept_Hope""}, {""name"": ""Drugs"", ""score"": 3.0766704, ""column"": ""Concept_Drugs""}, {""name"": ""Heartbreak"", ""score"": 2.940946, ""column"": ""Concept_Heartbreak""}, {""name"": ""Struggle"", ""score"": 2.630951, ""column"": ""Concept_Struggle""}]","Love, Hope, Drugs, Heartbreak, Struggle"
1st of tha Month,Bone Thugs-n-Harmony,lyrics_full_00582,584,4.7864823,1.1821684,4.3407006,3.8914328,6.4313393,9.164015,6.5747614,3.6239166,5.224766,4.537286,5.613324,4.784592,5.088505,2.3607793,3.9331818,,unavailable,"[{""name"": ""Violence"", ""score"": 9.164015, ""column"": ""Concept_Violence""}, {""name"": ""Self Empowerment"", ""score"": 6.5747614, ""column"": ""Concept_Self-Empowerment""}, {""name"": ""Sex"", ""score"": 6.4313393, ""column"": ""Concept_Sex""}, {""name"": ""Coming Of Age"", ""score"": 5.613324, ""column"": ""Concept_Coming_Of_Age""}, {""name"": ""Hope"", ""score"": 5.224766, ""column"": ""Concept_Hope""}]","Violence, Self Empowerment, Sex, Coming Of Age, Hope"
1 Thing,Amerie,lyrics_full_01538,1540,8.400235,1.241214,1.1363552,0.15592901,1.5717111,0.4879428,1.9305053,0.33963788,1.235603,0.17852321,1.2089556,5.046499,2.4225197,0.6972028,0.45242354,,unavailable,"[{""name"": ""Love"", ""score"": 8.400235, ""column"": ""Concept_Love""}, {""name"": ""Loneliness"", ""score"": 5.046499, ""column"": ""Concept_Loneliness""}, {""name"": ""Struggle"", ""score"": 2.4225197, ""column"": ""Concept_Struggle""}, {""name"": ""Self Empowerment"", ""score"": 1.9305053, ""column"": ""Concept_Self-Empowerment""}, {""name"": ""Sex"", ""score"": 1.5717111, ""column"": ""Concept_Sex""}]","Love, Loneliness, Struggle, Self Empowerment, Sex"
20 Cigarettes,Morgan Wallen,lyrics_full_03549,3551,9.562496,9.913633,0.30548412,2.8744552,0.17359856,1.4443417,0.3707295,0.078461036,3.2903223,0.06815178,0.77405334,9.27825,9.024773,3.4658635,1.1976154,,unavailable,"[{""name"": ""Heartbreak"", ""score"": 9.913633, ""column"": ""Concept_Heartbreak""}, {""name"": ""Love"", ""score"": 9.562496, ""column"": ""Concept_Love""}, {""name"": ""Loneliness"", ""score"": 9.27825, ""column"": ""Concept_Loneliness""}, {""name"": ""Struggle"", ""score"": 9.024773, ""column"": ""Concept_Struggle""}, {""name"": ""Friendship"", ""score"": 3.4658635, ""column"": ""Concept_Friendship""}]","Heartbreak, Love, Loneliness, Struggle, Friendship"
21 Guns,Green Day,lyrics_full_01944,1946,5.442383,0.26358122,1.8376689,2.7487807,6.9539757,2.414564,6.8201933,4.717744,2.8114698,2.229778,0.30238613,0.013593902,3.3652754,0.24764775,0.23527166,,unavailable,"[{""name"": ""Sex"", ""score"": 6.9539757, ""column"": ""Concept_Sex""}, {""name"": ""Self Empowerment"", ""score"": 6.8201933, ""column"": ""Concept_Self-Empowerment""}, {""name"": ""Love"", ""score"": 5.442383, ""column"": ""Concept_Love""}, {""name"": ""Success"", ""score"": 4.717744, ""column"": ""Concept_Success""}, {""name"": ""Struggle"", ""score"": 3.3652754, ""column"": ""Concept_Struggle""}]","Sex, Self Empowerment, Love, Success, Struggle"
22,Taylor Swift,lyrics_full_02336,2338,9.900188,9.890299,0.35490012,0.048478708,0.20356847,0.3780556,1.2993445,0.046128053,5.748378,0.52251816,4.1217704,8.632643,5.0088873,2.1174407,1.9431084,,unavailable,"[{""name"": ""Love"", ""score"": 9.900188, ""column"": ""Concept_Love""}, {""name"": ""Heartbreak"", ""score"": 9.890299, ""column"": ""Concept_Heartbreak""}, {""name"": ""Loneliness"", ""score"": 8.632643, ""column"": ""Concept_Loneliness""}, {""name"": ""Hope"", ""score"": 5.748378, ""column"": ""Concept_Hope""}, {""name"": ""Struggle"", ""score"": 5.0088873, ""column"": ""Concept_Struggle""}]","Love, Heartbreak, Loneliness, Hope, Struggle"
24K Magic,Bruno Mars,lyrics_full_02678,2680,4.9481316,1.9418831,6.1438613,0.06739964,1.3879535,0.1843267,9.158398,4.3345656,8.26014,5.7473226,1.9712958,1.5316918,0.82069945,3.728147,0.018135533,,unavailable,"[{""name"": ""Self Empowerment"", ""score"": 9.158398, ""column"": ""Concept_Self-Empowerment""}, {""name"": ""Hope"", ""score"": 8.26014, ""column"": ""Concept_Hope""}, {""name"": ""Partying"", ""score"": 6.1438613, ""column"": ""Concept_Partying""}, {""name"": ""Celebration"", ""score"": 5.7473226, ""column"": ""Concept_Celebration""}, {""name"": ""Love"", ""score"": 4.9481316, ""column"": ""Concept_Love""}]","Self Empowerment, Hope, Partying, Celebration, Love"
2 Become 1,Spice Girls,lyrics_full_00724,726,7.9092307,7.6897345,0.19780166,1.616103,0.07351998,5.3708897,5.5153475,0.23650956,8.659912,0.66627735,6.1659617,8.534096,9.003788,4.6498327,3.5304122,,unavailable,"[{""name"": ""Struggle"", ""score"": 9.003788, ""column"": ""Concept_Struggle""}, {""name"": ""Hope"", ""score"": 8.659912, ""column"": ""Concept_Hope""}, {""name"": ""Loneliness"", ""score"": 8.534096, ""column"": ""Concept_Loneliness""}, {""name"": ""Love"", ""score"": 7.9092307, ""column"": ""Concept_Love""}, {""name"": ""Heartbreak"", ""score"": 7.6897345, ""column"": ""Concept_Heartbreak""}]","Struggle, Hope, Loneliness, Love, Heartbreak"
2 Legit 2 Quit,Hammer,lyrics_full_00245,246,3.0000093,1.8522005,2.333482,4.208947,1.9560163,9.235781,6.0579634,6.0068483,2.0150244,2.0185256,2.948121,3.0293717,7.460814,0.18169993,0.7917323,,unavailable,"[{""name"": ""Violence"", ""score"": 9.235781, ""column"": ""Concept_Violence""}, {""name"": ""Struggle"", ""score"": 7.460814, ""column"": ""Concept_Struggle""}, {""name"": ""Self Empowerment"", ""score"": 6.0579634, ""column"": ""Concept_Self-Empowerment""}, {""name"": ""Success"", ""score"": 6.0068483, ""column"": ""Concept_Success""}, {""name"": ""Drugs"", ""score"": 4.208947, ""column"": ""Concept_Drugs""}]","Violence, Struggle, Self Empowerment, Success, Drugs"
