query_song_id,query_audio_id,query_title,query_artist,recommended_song_id,recommended_audio_id,recommended_title,recommended_artist,rank,similarity,variant,reason
lyrics_full_02984,2986,"10,000 Hours",Dan + Shay and Justin Bieber,lyrics_full_00218,219,Remember the Time,Michael Jackson,1,0.4333230257034302,neural_fusion_autoencoder,"neural_fusion_autoencoder similarity across audio, lyrics, and CBM concepts"
lyrics_full_02984,2986,"10,000 Hours",Dan + Shay and Justin Bieber,lyrics_full_00398,400,I Swear,All-4-One,2,0.39019840955734253,neural_fusion_autoencoder,"neural_fusion_autoencoder similarity across audio, lyrics, and CBM concepts"
lyrics_full_02984,2986,"10,000 Hours",Dan + Shay and Justin Bieber,lyrics_full_02466,2468,Thinking Out Loud,Ed Sheeran,3,0.38735246658325195,neural_fusion_autoencoder,"neural_fusion_autoencoder similarity across audio, lyrics, and CBM concepts"
lyrics_full_02984,2986,"10,000 Hours",Dan + Shay and Justin Bieber,lyrics_full_01027,1029,I Wanna Love You Forever,Jessica Simpson,4,0.37883758544921875,neural_fusion_autoencoder,"neural_fusion_autoencoder similarity across audio, lyrics, and CBM concepts"
lyrics_full_02984,2986,"10,000 Hours",Dan + Shay and Justin Bieber,lyrics_full_01984,1986,Just the Way You Are,Bruno Mars,5,0.3788045048713684,neural_fusion_autoencoder,"neural_fusion_autoencoder similarity across audio, lyrics, and CBM concepts"
lyrics_full_00441,443,100% Pure Love,Crystal Waters,lyrics_full_00069,70,King of Wishful Thinking,Go West,1,0.41506266593933105,neural_fusion_autoencoder,"neural_fusion_autoencoder similarity across audio, lyrics, and CBM concepts"
lyrics_full_00441,443,100% Pure Love,Crystal Waters,lyrics_full_00568,570,Every Day of the Week,Jade,2,0.3998802900314331,neural_fusion_autoencoder,"neural_fusion_autoencoder similarity across audio, lyrics, and CBM concepts"
lyrics_full_00441,443,100% Pure Love,Crystal Waters,lyrics_full_00101,102,I Wanna Sex You Up,Color Me Badd,3,0.3953803777694702,neural_fusion_autoencoder,"neural_fusion_autoencoder similarity across audio, lyrics, and CBM concepts"
lyrics_full_00441,443,100% Pure Love,Crystal Waters,lyrics_full_00130,131,I've Been Thinking About You,Londonbeat,4,0.3709132671356201,neural_fusion_autoencoder,"neural_fusion_autoencoder similarity across audio, lyrics, and CBM concepts"
lyrics_full_00441,443,100% Pure Love,Crystal Waters,lyrics_full_01695,1697,U + Ur Hand,Pink,5,0.3561840057373047,neural_fusion_autoencoder,"neural_fusion_autoencoder similarity across audio, lyrics, and CBM concepts"
lyrics_full_01448,1450,100 Years,Five for Fighting,lyrics_full_01027,1029,I Wanna Love You Forever,Jessica Simpson,1,0.40890371799468994,neural_fusion_autoencoder,"neural_fusion_autoencoder similarity across audio, lyrics, and CBM concepts"
lyrics_full_01448,1450,100 Years,Five for Fighting,lyrics_full_02284,2286,Wake Me Up,Avicii,2,0.401564359664917,neural_fusion_autoencoder,"neural_fusion_autoencoder similarity across audio, lyrics, and CBM concepts"
lyrics_full_01448,1450,100 Years,Five for Fighting,lyrics_full_00387,389,Break It Down Again,Tears for Fears,3,0.3997100591659546,neural_fusion_autoencoder,"neural_fusion_autoencoder similarity across audio, lyrics, and CBM concepts"
lyrics_full_01448,1450,100 Years,Five for Fighting,lyrics_full_03394,3396,I Can Do It with a Broken Heart,Taylor Swift,4,0.359125018119812,neural_fusion_autoencoder,"neural_fusion_autoencoder similarity across audio, lyrics, and CBM concepts"
lyrics_full_01448,1450,100 Years,Five for Fighting,lyrics_full_01620,1622,What's Left of Me,Nick Lachey,5,0.3272451162338257,neural_fusion_autoencoder,"neural_fusion_autoencoder similarity across audio, lyrics, and CBM concepts"
lyrics_full_00634,636,1979,The Smashing Pumpkins,lyrics_full_00339,340,Come Undone,Duran Duran,1,0.3962416648864746,neural_fusion_autoencoder,"neural_fusion_autoencoder similarity across audio, lyrics, and CBM concepts"
lyrics_full_00634,636,1979,The Smashing Pumpkins,lyrics_full_00329,330,Mr. Wendal,Arrested Development,2,0.3934568166732788,neural_fusion_autoencoder,"neural_fusion_autoencoder similarity across audio, lyrics, and CBM concepts"
lyrics_full_00634,636,1979,The Smashing Pumpkins,lyrics_full_00050,51,Praying for Time,George Michael,3,0.39046740531921387,neural_fusion_autoencoder,"neural_fusion_autoencoder similarity across audio, lyrics, and CBM concepts"
lyrics_full_00634,636,1979,The Smashing Pumpkins,lyrics_full_01567,1569,Bad Day,Daniel Powter,4,0.36617767810821533,neural_fusion_autoencoder,"neural_fusion_autoencoder similarity across audio, lyrics, and CBM concepts"
lyrics_full_00634,636,1979,The Smashing Pumpkins,lyrics_full_00616,618,Name,Goo Goo Dolls,5,0.3636200428009033,neural_fusion_autoencoder,"neural_fusion_autoencoder similarity across audio, lyrics, and CBM concepts"
lyrics_full_01355,1357,19 Somethin',Mark Wills,lyrics_full_01514,1516,Photograph,Nickelback,1,0.488566517829895,neural_fusion_autoencoder,"neural_fusion_autoencoder similarity across audio, lyrics, and CBM concepts"
lyrics_full_01355,1357,19 Somethin',Mark Wills,lyrics_full_00616,618,Name,Goo Goo Dolls,2,0.42157530784606934,neural_fusion_autoencoder,"neural_fusion_autoencoder similarity across audio, lyrics, and CBM concepts"
lyrics_full_01355,1357,19 Somethin',Mark Wills,lyrics_full_02507,2509,Centuries,Fall Out Boy,3,0.37147510051727295,neural_fusion_autoencoder,"neural_fusion_autoencoder similarity across audio, lyrics, and CBM concepts"
lyrics_full_01355,1357,19 Somethin',Mark Wills,lyrics_full_00034,35,We Didn't Start the Fire,Billy Joel,4,0.369276225566864,neural_fusion_autoencoder,"neural_fusion_autoencoder similarity across audio, lyrics, and CBM concepts"
lyrics_full_01355,1357,19 Somethin',Mark Wills,lyrics_full_01547,1549,Cool,Gwen Stefani,5,0.3572438359260559,neural_fusion_autoencoder,"neural_fusion_autoencoder similarity across audio, lyrics, and CBM concepts"
lyrics_full_00582,584,1st of tha Month,Bone Thugs-n-Harmony,lyrics_full_00736,738,Look into My Eyes,Bone Thugs-n-Harmony,1,0.5020676851272583,neural_fusion_autoencoder,"neural_fusion_autoencoder similarity across audio, lyrics, and CBM concepts"
lyrics_full_00582,584,1st of tha Month,Bone Thugs-n-Harmony,lyrics_full_00235,236,Ain't 2 Proud 2 Beg,TLC,2,0.4220585823059082,neural_fusion_autoencoder,"neural_fusion_autoencoder similarity across audio, lyrics, and CBM concepts"
lyrics_full_00582,584,1st of tha Month,Bone Thugs-n-Harmony,lyrics_full_03037,3039,The Bigger Picture,Lil Baby,3,0.4136999845504761,neural_fusion_autoencoder,"neural_fusion_autoencoder similarity across audio, lyrics, and CBM concepts"
lyrics_full_00582,584,1st of tha Month,Bone Thugs-n-Harmony,lyrics_full_03373,3375,Like That,"Future, Metro Boomin and Kendrick Lamar",4,0.4114443063735962,neural_fusion_autoencoder,"neural_fusion_autoencoder similarity across audio, lyrics, and CBM concepts"
lyrics_full_00582,584,1st of tha Month,Bone Thugs-n-Harmony,lyrics_full_03059,3061,Said Sum,Moneybagg Yo,5,0.4009060263633728,neural_fusion_autoencoder,"neural_fusion_autoencoder similarity across audio, lyrics, and CBM concepts"
lyrics_full_01538,1540,1 Thing,Amerie,lyrics_full_00025,26,The Power,Snap!,1,0.38168537616729736,neural_fusion_autoencoder,"neural_fusion_autoencoder similarity across audio, lyrics, and CBM concepts"
