SONG_ID,Clean_Lyrics,Word_Count,Unique_Word_Count,Repetition_Score,Average_Line_Length,Vocabulary_Diversity,Title_Repetition,Explicit_Word_Count,Sentiment_Score,Positive_Score,Negative_Score,Emotional_Intensity
7j5TIXPi0cCbSSqItmbyZy,"what are you looking at?

strike a pose

strike a pose
vogue (vogue, vogue)
vogue (vogue, vogue)

look around, everywhere you turn is heartache
it's everywhere that you go (look around)
you try everything you can to escape
the pain of life that you know (life that you know)
when all else fails and you long to be
something better than you are today
i know a place where you can get away
it's called a dance floor
and here's what it's for, so

come on, vogue (vogue)
let your body move to the music (move to the music)
hey, hey, hey
come on, vogue (vogue)
let your body go with the flow (go with the flow)
you know you can do it

all you need is your own imagination
so use it, that's what it's for (that's what it's for)
go inside for your finest inspiration
your dreams will open the door (open up the door)
it makes no difference if you're black or white
if you're a boy or a girl
if the music's pumping it will give you new life
you're a superstar
yes, that's what you are, you know it

come on, vogue (vogue)
let your body groove to the music (groove to the music)
hey, hey, hey
come on, vogue (vogue, vogue)
let your body go with the flow (go with the flow)
you know you can do it

beauty's where you find it
not just where you bump and grind it
soul is in the musical
that's where i feel so beautiful
magical, life's a ball
so get up on the dance floor

vogue (vogue)
let your body move to the music (move to the music)
hey, hey, hey
come on, vogue (vogue, vogue)
let your body go with the flow (go with the flow)
you know you can do it

vogue (vogue)
beauty's where you find it (move to the music)
vogue (vogue)
beauty's where you find it (go with the flow)

greta garbo and monroe
dietrich and dimaggio
marlon brando, jimmy dean
on the cover of a magazine

grace kelly, harlow, jean
picture of a beauty queen
gene kelly, fred astaire
ginger rogers, dance on air

they had style, they had grace
rita hayworth gave good face
lauren, katherine, lana too
bette davis, we love you

ladies with an attitude
fellas that were in the mood
don't just stand there, let's get to it
strike a pose, there's nothing to it

vogue, vogue
vogue, vogue (move to the music)
vogue, vogue
vogue, vogue (go with the flow)

ooh, you've got to
let your body move to the music
ooh, you've got to just
let your body go with the flow

ooh, you've got to just...
vogue (vogue)",455,185,0.5934,5.9091,0.4066,34,0,0.9753,0.072,0.026,0.9753
0yp3TvJNlG50Q4tAHWNCRm,"words like violence
break the silence
come crashing in
into my little world

painful to me
pierce right through me
can't you understand
oh my little girl?

all i ever wanted
all i ever needed
is here in my arms
words are very unnecessary
they can only do harm

vows are spoken
to be broken
feelings are intense
words are trivial

pleasures remain
so does the pain
words are meaningless
and forgettable

all i ever wanted
all i ever needed
is here in my arms
words are very unnecessary
they can only do harm

all i ever wanted
all i ever needed
is here in my arms
words are very unnecessary
they can only do harm

all i ever wanted
all i ever needed
is here in my arms
words are very unnecessary
they can only do harm

enjoy the silence",141,56,0.6028,3.8108,0.3972,1,0,-0.9701,0.059,0.187,0.9701
3XVozq1aeqsJwpXrEZrDJ9,"yo vip, let's kick it
ice, ice baby
ice, ice baby

alright stop, collaborate and listen
ice is back with my brand new invention
something grabs a hold of me tightly
flow like a harpoon daily and nightly
will it ever stop? yo, i don't know
turn off the lights, and i'll glow

to the extreme, i rock a mic like a vandal
light up a stage and wax a chump like a candle
dance, go rush to the speaker that booms
i'm killing your brain like a poisonous mushroom

deadly, when i play a dope melody
anything less than the best is a felony
love it or leave it, you better gangway
you better hit bull's eye, the kid don't play
if there was a problem, yo, i'll solve it
check out the hook while my dj revolves it

ice, ice baby
vanilla ice, ice baby
vanilla ice, ice baby
vanilla ice, ice baby
vanilla

now that the party is jumping
with the bass kicked in, and the vegas are pumping
quick to the point, to the point, no faking
cooking mcs like a pound of bacon
burning them, if you ain't quick and nimble
i go crazy when i hear a cymbal
and a hi-hat with a souped up tempo
i'm on a roll, it's time to go solo

rollin' in my 5.0
with my rag-top down so my hair can blow
the girlies on standby, waving just to say ""hi""
""did you stop?"" no, i just drove by
kept on, pursuing to the next stop
i busted a left, and i'm heading to the next block
the block was dead, yo
so i continued to a1a beachfront avenue

girls were hot wearing less than bikinis
rockman lovers driving lamborghinis
jealous, 'cause i'm out getting mine
shay with a gauge, and vanilla with a nine
ready for the chumps on the wall
the chumps acting ill because they're full of eight ball
gunshots rang out like a bell
i grabbed my nine, all i heard were shells
falling on the concrete real fast

jumped in my car, slammed on the gas
bumper to bumper, the avenue's packed
i'm trying to get away before the jackers jack
police on the scene, you know what i mean
they passed me up, confronted all the dope fiends
if there was a problem, yo, i'll solve it
check out the hook while my dj revolves it

ice, ice baby
vanilla ice, ice baby
vanilla ice, ice baby
vanilla ice, ice baby
vanilla

take heed 'cause i'm a lyrical poet
miami's on the scene, just in case you didn't know it
my town, that created all the bass sound
enough to shake and kick holes in the ground
'cause my style's like a chemical spill
feasible rhymes that you can vision and feel
conducted and formed, this is a hell of a concept

we make it hype, and you want to step
with this, shay plays on the fade
slice like a ninja, cut like a razor blade
so fast, other djs say ""damn!""
if my rhyme was a drug, i'd sell it by the gram

keep my composure,when it's time to get loose
magnetized by the mic while i kick my juice
if there was a problem, yo, i'll solve it
check out the hook while d-shay revolves it

ice, ice baby
vanilla ice, ice baby
vanilla ice, ice baby
vanilla ice, ice baby
vanilla ice
yo man, let's get out of here
word to your mother

ice, ice baby, too cold
ice, ice baby, too cold, too cold
ice, ice baby, too cold, too cold
ice, ice baby, too cold, too cold",611,291,0.5237,6.9432,0.4763,0,2,-0.4058,0.099,0.096,0.4058
7EsjkelQuoUlJXEw7SeVV4,"aaow!

aaow!

i took my baby on a saturday bang
boy, is that girl with you?
yes, we're one and the same
now i believe in miracles
and a miracle has happened tonight
hee!

but, if you're thinking about my baby
it don't matter if you're black or white
ooh!

they print my message in the saturday sun
i had to tell 'em i ain't second to none
and i told 'em about equality
and it's true, either you're wrong or you're right
hoo!

but, if you're thinking about my baby
it don't matter if you're black or white
hoo!

gone witcha girl!
hee-hee!

i am tired of this devil
i am tired of this stuff
i am tired of this business
so when the going gets rough
i ain't scared of your brother
i ain't scared of no sheets
i ain't scared of nobody
girl, when the going gets mean

protection for gangs, clubs and nations
causing grief in human relations
it's a turf war on a global scale
i'd rather hear both sides of the tale
see, it's not about races
just places, faces
where your blood comes from is where your space is
i've seen the bright get duller
i'm not going to spend my life being a color

don't tell me you agree with me
when i saw you kicking dirt in my eye
hee-hee!

but, if you're thinking about my baby
it don't matter if you're black or white
i said if you're thinking of being my baby
it don't matter if you're black or white
i said if you're thinking of being my brother
it don't matter if you're black or white

alright, alright
ah, dah, ah (ooh, ooh, ooh, ooh)
dah, ah, dah, alright
ooh, ooh, yeah, yeah, yeah, now
alright, alright (ooh, ooh, ooh, ooh)
shamone, don't
ooh, ooh, yeah, yeah, yeah now
alright (ooh, ooh, ooh, ooh)
it's black, it's white
it's tough for you to get by (ooh, ooh, yeah, yeah, yeah)
it's black, it's white, hoo! (ooh, ooh, ooh, ooh)
it's black, it's white
it's tough for you to get by (ooh, ooh, yeah, yeah, yeah)
it's black, it's white, hoo! (shamone, dah)",364,151,0.5852,5.9672,0.4148,5,0,0.969,0.166,0.111,0.969
5ghIJDpPoe3CfHMGu71E6T,"load up on guns, bring your friends
it's fun to lose and to pretend
she's over-bored, and self-assured
oh no, i know a dirty word

hello, hello, hello, how low?
hello, hello, hello, how low?
hello, hello, hello, how low?
hello, hello, hello

with the lights out, it's less dangerous
here we are now, entertain us
i feel stupid and contagious
here we are now, entertain us
a mulatto, an albino
a mosquito, my libido, yeah
hey, yey

i'm worse at what i do best
and for this gift, i feel blessed
our little group has always been
and always will until the end

hello, hello, hello, how low?
hello, hello, hello, how low?
hello, hello, hello, how low?
hello, hello, hello

with the lights out, it's less dangerous
here we are now, entertain us
i feel stupid and contagious
here we are now, entertain us
a mulatto, an albino
a mosquito, my libido, yeah
hey, yey

and i forget just why i taste
oh yeah, i guess it makes me smile
i found it hard, it's hard to find
oh well, whatever, never mind

hello, hello, hello, how low?
hello, hello, hello, how low?
hello, hello, hello, how low?
hello, hello, hello

with the lights out, it's less dangerous
here we are now, entertain us
i feel stupid and contagious
here we are now, entertain us
a mulatto, an albino
a mosquito, my libido

a denial, a denial
a denial, a denial
a denial, a denial
a denial, a denial
a denial",253,91,0.6403,5.1633,0.3597,0,0,-0.9119,0.136,0.192,0.9119
31AOj9sFz2gM0O3hMARRBx,"oh, life is bigger
it's bigger than you
and you are not me
the lengths that i will go to
the distance in your eyes
oh no, i've said too much
i set it up

that's me in the corner
that's me in the spotlight
losing my religion
trying to keep up with you
and i don't know if i can do it
oh no, i've said too much
i haven't said enough

i thought that i heard you laughing
i thought that i heard you sing
i think i thought i saw you try

every whisper, of every waking hour
i'm choosing my confessions
trying to keep an eye on you
like a hurt, lost, and blinded fool, fool
oh no, i've said too much
i set it up

consider this
consider this, the hint of the century
consider this the slip
that brought me to my knees, failed
what if all these fantasies come
flailing around
now i've said too much

i thought that i heard you laughing
i thought that i heard you sing
i think i thought i saw you try

but that was just a dream
that was just a dream

that's me in the corner
that's me in the spotlight
losing my religion
trying to keep up with you
and i don't know if i can do it
oh no, i've said too much
i haven't said enough

i thought that i heard you laughing
i thought that i heard you sing
i think i thought i saw you try

but that was just a dream
try, cry, fly, try
that was just a dream
just a dream
just a dream",277,96,0.6534,5.54,0.3466,2,0,0.7184,0.083,0.063,0.7184
1SAkL1mYNJlaqnBQxVZrRl,"oh my god
becky, look at her butt
it's so big
she looks like one of those rap guys' girlfriends
but, you know
who understands those rap guys?
they only talk to her because she looks like a total prostitute, okay
i mean her butt
it's just so big
i can't believe it's so round
it's like, out there
i mean, it's gross
look, she's just so black

i like big butts and i cannot lie
you other brothers can't deny
that when a girl walks in with an itty bitty waist
and a round thing in your face

you get sprung
wanna pull up tough
'cause you notice that butt was stuffed
deep in the jeans she's wearing
i'm hooked and i can't stop staring

oh, baby i wanna get with ya
and take your picture
my homeboys tried to warn me
but that butt you got
makes (me so horny)

ooh, rump of smooth skin
you say you wanna get in my benz
well use me, use me 'cause you aint that average groupie

i've seen them dancin'
to hell with romancin'
she's sweat and wet
got it goin' like a turbo 'vette

i'm tired of magazines
saying flat butts are the thing
take the average black man and ask him that
she gotta pack much back

so, fellas! (yeah), fellas (yeah)
has your girlfriend got the butt? (hell yeah)
tell 'em to shake it! (shake it), shake it (shake it)
shake that healthy butt
baby got back!

(l.a. face with a oakland booty)

baby got back!
(l.a. face with a oakland booty)

(l.a. face with a oakland booty)

i like 'em round and big
and when i'm throwin a gig
i just can't help myself
i'm actin like an animal
now here's my scandal

i wanna get you home
and ugh, double-up, ugh, ugh
i ain't talkin' 'bout playboy
'cause silicone parts are made for toys
i want 'em real thick and juicy

so find that juicy double
mix-a-lot's in trouble
beggin' for a piece of that bubble
so i'm lookin' at rock videos
knock-kneeded bimbos walkin' like hoes

you can have them bimbos
i'll keep my women like flo jo
a word to the thick soul sistas, i wanna get with ya
i won't cuss or hit ya
but i gotta be straight when i say i wanna

'til the break of dawn
baby got it goin' on
a lot of simps won't like this song
'cause them punks like to hit it and quit it
and i'd rather stay and play
'cause i'm long, and i'm strong
and i'm down to get the friction on

so, ladies (yeah), ladies (yeah)
if you wanna roll in my mercedes (yeah)
then turn around, stick it out
even white boys got to shout
baby got back

baby got back

yeah, baby, when it comes to females, cosmo ain't got nothin'
to do with my selection, 36-24-36? ha-ha, only if she's 5'3""

so your girlfriend rolls a honda
playin' workout tapes by fonda
but fonda ain't got a motor in the back of her honda

my anaconda don't want none
unless you've got buns, hun
you can do side bends or sit-ups
but please don't lose that butt

some brothers wanna play that hard role
and tell you that the butt ain't gold
so they toss it and leave it
and i pull up quick to retrieve it

so cosmo says you're fat
well i ain't down with that
'cause your waist is small and your curves are kickin'
and i'm thinkin' 'bout stickin'

to the beanpole dames in the magazines
you ain't it, miss thing
give me a sister, i can't resist her
red beans and rice didn't miss her

some knucklehead tried to diss
'cause his girls are on my list
he had game but he chose to hit 'em
and i pull up quick to get wit 'em

so ladies, if the butt is round
and you want a triple x throw down
dial 1-900-mix-a-lot
and kick them nasty thoughts
baby got back

baby got back

(little in the middle but she got much back)
(little in the middle but she got much back)
(little in the middle but she got much back)
(little in the middle but she got much back)",716,326,0.5447,6.2261,0.4553,6,2,0.974,0.117,0.082,0.974
4eHbdreAnSOrDDsFfc4Fpm,"if i should stay
i would only be in your way
so i'll go, but i know
i'll think of you every step of the way

and i will always love you
i will always love you
you
my darling, you, mm-mm

bittersweet memories
that is all i'm taking with me
so goodbye, please don't cry
we both know i'm not what you, you need

and i will always love you
i will always love you

i hope life treats you kind
and i hope you have all you've dreamed of
and i wish you joy and happiness
but above all this, i wish you love

and i will always love you
i will always love you
i will always love you
i will always love you
i will always love you
i, i will always love you

you
darling, i love you
ooh, i'll always, i'll always love you",150,62,0.5867,5.5556,0.4133,10,0,0.9992,0.491,0.006,0.9992
70LcF31zb1H0PyJoS1Sx1r,"when you were here before
couldn't look you in the eye

you're just like an angel
your skin makes me cry
you float like a feather
in a beautiful world

i wish i was special
you're so fuckin' special

but i'm a creep
i'm a weirdo
what the hell am i doin' here?
i don't belong here

i don't care if it hurts
i wanna have control
i want a perfect body
i want a perfect soul
i want you to notice
when i'm not around

so fuckin' special
i wish i was special

but i'm a creep
i'm a weirdo
what the hell am i doin' here?
i don't belong here

she's running out the door (run)
she's running out
she run, run, run, run

run

whatever makes you happy
whatever you want

you're so fuckin' special

i wish i was special

but i'm a creep
i'm a weirdo
what the hell am i doin' here?
i don't belong here
i don't belong here",165,67,0.5939,4.4595,0.4061,3,3,0.879,0.244,0.171,0.879
119c93MHjrDLJTApCVGpvx,"what that nigga want, god?
word up, look out for the cops (wu-tang five-finger shit, fam)
cash rules-
word up, two for fives over here, baby
word up, two for fives, niggas got garbage down the way
word up, know what i'm sayin'? (cash rules everything around me, c.r.e.a.m. get-)
yeah, check this ol' fly shit out, word up
(cash rules everything around me) take you on a natural joint
(c.r.e.a.m. get the money) here we, here we go
(dollar, dollar bill, y'all) check this shit, yo

i grew up on the crime side, the new york times side
staying alive was no jive
at second hands, moms bounced on old men
so then we moved to shaolin land
a young youth, yo' rockin' the gold tooth, 'lo goose
only way, i begin to gee off was drug loot
and let's start it like this son, rollin' with this one
and that one, pullin' out gats for fun

but it was just a dream for the teen, who was a fiend
started smokin' woolies at 16
and running up in gates, and doing hits for high stakes
making my way on fire escapes
no question, i would speed, for cracks and weed
the combination made my eyes bleed
no question, i would flow off, and try to get the dough all
sticking up white boys in ball courts

my life got no better, same damn 'lo sweater
times is rough and tough like leather
figured out i went the wrong route
so i got with a sick ass click and went all out
catchin' keys from across seas
rollin' in mpv's, every week we made forty g's
yo nigga respect mine, or anger the tech nine
ch-chick-pow! wu from the gate now

cash rules everything around me
c.r.e.a.m. get the money
dollar, dollar bill, y'all
cash rules everything around me
c.r.e.a.m. get the money
dollar, dollar bill, y'all

it's been 22 long hard years of still strugglin'
survival got me buggin', but i'm alive on arrival
i peep at the shape of the streets
and stay awake to the ways of the world 'cause shit is deep
a man with a dream with plans to make c.r.e.a.m
which failed, i went to jail at the age of 15
a young buck sellin' drugs and such who never had much
trying to get a clutch at what i could not, could not

the court played me short, now i face incarceration
pacin' going up state's my destination
handcuffed in back of a bus, 40of us
life as a shorty shouldn't be so rough
but as the world turns, i learned life is hell
living in the world no different from a cell
every day, i escape from jakes givin' chase, sellin' base
smokin' bones in the staircase

though i don't know why i chose to smoke sess
i guess that's the time when i'm not depressed
but i'm still depressed, and i ask what's it worth?
ready to give up, so i seek the old earth
who explained working hard may help you maintain
to learn to overcome the heartaches and pain
we got stickup kids, corrupt cops, and crack rocks
and stray shots, all on the block that stays hot

leave it up to me while i be living proof
to kick the truth to the young black youth
but shorty's running wild smokin' sess drinkin' beer
and ain't trying to hear what i'm kickin' in his ear
neglected, but now, but yo, it gots to be accepted
that what? that life is hectic

cash rules everything around me
c.r.e.a.m. get the money
dollar, dollar bill, y'all
cash rules everything around me (my niggas gots to do what they gotta do)
c.r.e.a.m. get the money
dollar, dollar bill, y'all (to get through, know what i'm sayin'?)

cash rules everything around me (because you can't just get by no more)
c.r.e.a.m. get the money (word up)
dollar, dollar bill, y'all (you gotta get over, straight up and down)
cash rules everything around me
c.r.e.a.m. get the money
dollar, dollar bill, y'all

cash rules everything around me
c.r.e.a.m. get the money
dollar, dollar bill, y'all
cash rules everything around me
c.r.e.a.m. get the money
dollar, dollar bill, y'all

cash rules everything around me
c.r.e.a.m. get the money
dollar, dollar bill, y'all
cash rules everything around me
c.r.e.a.m. get the money
dollar, dollar bill, y'all-all-all, yeah",733,356,0.5143,7.7979,0.4857,12,9,-0.9941,0.066,0.118,0.9941
