Song Name,Artist Name
Gangsta's Paradise,Coolio featuring L.V.
Waterfalls,TLC
Creep,TLC
Kiss from a Rose,Seal
On Bended Knee,Boyz II Men
Another Night,Real McCoy
Fantasy,Mariah Carey
Take a Bow,Madonna
Don't Take It Personal (Just One of Dem Days),Monica
This Is How We Do It,Montell Jordan
I Know,Dionne Farris
Water Runs Dry,Boyz II Men
Freak Like Me,Adina Howard
Run-Around,Blues Traveler
I Can Love You Like That,All-4-One
Have You Ever Really Loved a Woman?,Bryan Adams
Always,Bon Jovi
Boombastic / In the Summertime,Shaggy
Total Eclipse of the Heart,Nicki French
You Gotta Be,Des'ree
You Are Not Alone,Michael Jackson
Hold My Hand,Hootie & the Blowfish
One More Chance/Stay with Me,The Notorious B.I.G.
Here Comes the Hotstepper,Ini Kamoze
Candy Rain,Soul for Real
Let Her Cry,Hootie & the Blowfish
I Believe,Blessid Union of Souls
Red Light Special,TLC
Runaway,Janet Jackson
Strong Enough,Sheryl Crow
Colors of the Wind,Vanessa Williams
Someone to Love,Jon B. featuring Babyface
Only Wanna Be with You,Hootie & the Blowfish
If You Love Me,Brownstone
In the House of Stone and Light,Martin Page
I Got 5 on It,Luniz
Baby,Brandy
Run Away,Real McCoy
As I Lay Me Down,Sophie B. Hawkins
He's Mine,MoKenStef
December,Collective Soul
I'll Be There for You/You're All I Need to Get By,Method Man featuring Mary J. Blige
Shy Guy,Diana King
I'm the Only One,Melissa Etheridge
Every Little Thing I Do,Soul for Real
Before I Let You Go,Blackstreet
Big Poppa / Warning,The Notorious B.I.G.
Sukiyaki,4 P.M.
I Wanna Be Down,Brandy
I'll Make Love to You,Boyz II Men
Dear Mama / Old School,2Pac
Hold On,Jamie Walters
Keep Their Heads Ringin',Dr. Dre
The Rhythm of the Night,Corona
Roll to Me,Del Amitri
Scream / Childhood,Michael Jackson and Janet Jackson
Freek'n You,Jodeci
I Wish,Skee-Lo
Believe,Elton John
Carnival,Natalie Merchant
You Don't Know How It Feels,Tom Petty
Back for Good,Take That
Tootsee Roll,69 Boyz
You Want This / 70's Love Groove,Janet Jackson
Tell Me,Groove Theory
Can't You See,Total featuring The Notorious B.I.G.
All I Wanna Do,Sheryl Crow
This Lil' Game We Play,Subway featuring 702
Come and Get Your Love,Real McCoy
This Ain't a Love Song,Bon Jovi
Secret,Madonna
Player's Anthem,Junior M.A.F.I.A. featuring The Notorious B.I.G.
Feel Me Flow,Naughty by Nature
Every Day of the Week,Jade
The Sweetest Days,Vanessa Williams
Short Dick Man,20 Fingers featuring Gillette
Brokenhearted,Brandy
No More I Love You's,Annie Lennox
You Used to Love Me,Faith Evans
Constantly,Immature
"Hold Me, Thrill Me, Kiss Me, Kill Me",U2
100% Pure Love,Crystal Waters
Ask of You,Raphael Saadiq
Sugar Hill,AZ
Good,Better Than Ezra
Brown Sugar,D'Angelo
Turn the Beat Around,Gloria Estefan
'Til You Do Me Right,After 7
1st of tha Month,Bone Thugs-n-Harmony
Like the Way I Do / If I Wanted To,Melissa Etheridge
I Live My Life for You,FireHouse
Dream About You / Funky Melody,Stevie B
Cotton Eye Joe,Rednex
Thank You,Boyz II Men
I'll Stand by You,The Pretenders
I Miss You,N II U
Give It 2 You,Da Brat
Best Friend,Brandy
Misery,Soul Asylum
Can't Stop Lovin' You,Van Halen
