Song Title,Artist,Release_Year,Reviewer,Violence,Heartbreak,Partying,Drugs,Sex,Self-Empowerment,Success,Hope,Celebration,Coming_Of_Age,Loneliness,Struggle,Love,Friendship,Traveling
Vogue,Madonna,1990,Sunny,0,0,4,0,0,9,2,3,0,0,0,0,0,0,0
Black or White,Michael Jackson,1991,Sunny,0,0,0,0,0,4,0,1,0,0,0,5,0,0,0
C.R.E.A.M.,Wu-Tang Clan,1993,Sunny,5,0,0,7,0,3,5,3,0,0,0,9,0,0,0
Wonderwall,Oasis,1995,Sunny,0,1,0,0,0,6,0,10,0,0,0,0,10,2,0
Don't Speak,No Doubt,1996,Sunny,0,10,0,0,0,0,0,1,0,0,7,5,10,2,0
The Boy Is Mine,"Brandy, Monica",1998,Sunny,0,1,0,0,0,0,0,0,0,0,0,1,8,0,0
Oops!... I Did It Again,Britney Spears,2000,Sunny,0,3,0,0,0,0,0,0,0,0,0,0,6,0,0
Fallin',Alicia Keys,2001,Sunny,0,8,0,0,0,0,0,0,0,0,0,0,10,0,0
Hey Ya!,Outkast,2003,Sunny,0,4,0,0,5,0,0,0,0,0,4,2,7,4,0
Toxic,Britney Spears,2004,Sunny,0,0,0,4,10,0,0,0,0,0,0,0,8,0,0
Crazy,Gnarls Barkley,2006,Sunny,0,8,0,0,0,0,0,2,0,0,3,2,8,0,0
Single Ladies (Put a Ring on It),Beyoncé,2008,Sunny,0,0,0,0,0,8,0,3,0,0,0,0,8,0,0
Rolling in the Deep,Adele,2010,Sunny,0,9,0,0,0,2,0,2,0,0,0,1,6,0,0
We Found Love,"Rihanna, Calvin Harris",2011,Sunny,0,0,10,0,0,4,0,8,5,0,1,0,8,0,0
Royals,Lorde,2013,Sunny,0,0,5,0,0,0,6,0,0,0,0,1,0,0,0
Hello,Adele,2015,Sunny,0,7,0,0,0,0,0,0,0,0,3,6,9,5,3
Work,"Rihanna, Drake",2016,Sunny,0,4,0,0,0,0,0,0,0,0,0,7,7,0,0
"thank u, next",Ariana Grande,2018,Sunny,0,9,0,0,0,9,5,3,8,0,0,6,9,4,0
Watermelon Sugar,Harry Styles,2020,Sunny,0,0,0,0,9,0,0,0,0,0,0,0,10,0,0
MONTERO (Call Me By Your Name),Lil Nas X,2021,Sunny,0,0,6,8,9,0,3,0,0,0,0,0,5,0,3
Paint The Town Red,Doja Cat,2023,Sunny,2,0,0,0,0,9,9,5,0,0,0,0,0,0,0
Die With A Smile,"Lady Gaga, Bruno Mars",2025,Sunny,0,8,0,0,0,0,0,4,0,0,2,5,10,0,0
Smells Like Teen Spirit,Nirvana,1991,Saksham,4,3,1,0,0,4,0,0,1,8,7,8,2,4,1
