Model,Concept,Positive_Rows,Negative_Rows,Threshold,MAE,RMSE,R2,Accuracy,Precision,Recall,F1,Tuned_F1,Reliability
cbm_mlp_tuned::mlp_wide_regularized,Love,58,18,0.25,3.2631767580383704,3.82824193872239,-0.20935196736793182,0.7631578947368421,0.7631578947368421,1.0,0.8656716417910447,0.8656716417910447,low_label_coverage
cbm_mlp_tuned::mlp_wide_regularized,Heartbreak,40,36,2.8417721518987342,3.753555195111977,4.146768067178515,-0.2794810940466981,0.5526315789473685,0.5416666666666666,0.975,0.6964285714285714,0.6964285714285714,usable
cbm_mlp_tuned::mlp_wide_regularized,Partying,29,47,1.9778481012658229,3.778375797757977,4.242643291814636,-0.9298028335726127,0.39473684210526316,0.38666666666666666,1.0,0.5576923076923077,0.5576923076923077,usable
cbm_mlp_tuned::mlp_wide_regularized,Drugs,16,60,5.063291139240507,3.9170879233432445,4.330084711764863,-4.016810290335915,0.6578947368421053,0.32142857142857145,0.5625,0.4090909090909091,0.4090909090909091,low_label_coverage
cbm_mlp_tuned::mlp_wide_regularized,Sex,29,47,1.6075949367088609,4.219393312931061,4.724867986634909,-1.1642431082368572,0.40789473684210525,0.3918918918918919,1.0,0.5631067961165048,0.5631067961165048,usable
cbm_mlp_tuned::mlp_wide_regularized,Violence,16,60,3.829113924050633,4.022403377647462,4.386743977170575,-3.730617434367365,0.5394736842105263,0.2978723404255319,0.875,0.4444444444444444,0.4444444444444444,low_label_coverage
cbm_mlp_tuned::mlp_wide_regularized,Self-Empowerment,43,33,0.25,3.5872721958317255,4.156512190350889,-0.6825940372532975,0.5657894736842105,0.5657894736842105,1.0,0.7226890756302521,0.7226890756302521,usable
cbm_mlp_tuned::mlp_wide_regularized,Success,26,50,4.322784810126582,3.467254555735149,3.8682810997497006,-1.0919194960486984,0.618421052631579,0.4594594594594595,0.6538461538461539,0.5396825396825397,0.5396825396825397,usable
cbm_mlp_tuned::mlp_wide_regularized,Hope,49,27,1.7310126582278482,3.4181192262392295,3.8676836817471667,-1.1657071262888508,0.6578947368421053,0.6533333333333333,1.0,0.7903225806451613,0.7903225806451613,usable
cbm_mlp_tuned::mlp_wide_regularized,Celebration,24,52,2.9651898734177218,3.781467047176863,4.23524156235117,-1.6082037566224132,0.4342105263157895,0.3492063492063492,0.9166666666666666,0.5057471264367817,0.5057471264367817,usable
cbm_mlp_tuned::mlp_wide_regularized,Coming_Of_Age,39,37,2.4715189873417724,3.3137003210814377,3.886021208032071,-1.0305972517726132,0.5394736842105263,0.5277777777777778,0.9743589743589743,0.6846846846846847,0.6846846846846847,usable
