Song,Artist,Violence,Heartbreak,Partying,Drugs,Sex,Self-Empowerment,Success,Hope,Celebration,Coming_Of_Age,Loneliness,Struggle,Love,Friendship,Traveling
"Ice Ice Baby","Vanilla Ice",2,0,8,3,2,6,7,2,6,3,0,3,0,2,2
"Creep","Radiohead",0,7,0,0,0,1,0,2,0,3,9,6,4,3,0
"Basket Case","Green Day",0,3,2,2,0,3,0,1,0,7,5,7,2,1,0
"Waterfalls","TLC",4,3,2,6,2,5,2,4,0,4,3,8,3,2,1
"Bitter Sweet Symphony","The Verve",2,5,0,1,0,4,0,5,0,4,5,7,3,0,3
"I Want It That Way","Backstreet Boys",0,8,0,0,0,0,0,2,0,3,5,2,8,3,0
"Stan","Eminem, Dido",5,7,0,2,0,0,0,0,0,2,7,7,6,2,0
"Complicated","Avril Lavigne",0,5,2,0,0,3,0,2,0,8,3,4,5,3,0
"Yeah!","Usher, Lil Jon, Ludacris",0,0,10,2,6,5,5,2,8,2,0,1,2,3,0
"Feel Good Inc.","Gorillaz",2,3,4,4,1,3,2,3,3,3,5,5,2,2,2
"Stronger","Kanye West",0,4,3,0,2,9,8,6,4,3,0,4,2,0,0
"I Gotta Feeling","Black Eyed Peas",0,0,10,0,2,5,4,7,9,3,0,0,2,5,2
"Love the Way You Lie","Eminem, Rihanna",8,8,0,2,3,2,0,1,0,2,4,7,7,0,0
"Call Me Maybe","Carly Rae Jepsen",0,2,4,0,0,2,0,6,3,7,2,1,7,3,0
"Uptown Funk","Mark Ronson, Bruno Mars",0,0,9,0,3,7,7,3,8,3,0,0,2,3,2
"See You Again","Wiz Khalifa, Charlie Puth",0,6,0,0,0,3,3,7,2,3,4,5,5,8,3
"Despacito","Luis Fonsi, Daddy Yankee",0,0,6,0,7,3,2,3,5,2,0,0,7,3,4
"Old Town Road","Lil Nas X, Billy Ray Cyrus",0,0,5,2,2,7,6,5,5,3,0,3,2,2,5
"WAP","Cardi B, Megan Thee Stallion",1,0,7,0,10,8,6,2,5,0,0,2,2,2,0
"Anti-Hero","Taylor Swift",0,4,0,0,0,3,0,2,0,4,7,6,3,0,0
"Not Like Us","Kendrick Lamar",7,2,4,0,2,8,5,2,2,2,0,5,0,2,0
"Ordinary","Alex Warren",0,8,0,0,0,3,0,4,0,5,7,7,5,2,0
